mean_ranks,std_rank
8.6,5.853773711604052
9.15,7.767632271877391
9.4,7.275529763071094
9.65,8.56365057152095
10.4,8.113089560840693
10.5,4.8362060428489695
10.55,8.213978600193968
10.75,7.532337692317778
11.2,5.940445175985458
11.2,6.972963661329537
11.6,6.736302975503535
12.3,6.272515001532036
12.45,8.063808033429368
12.9,5.896326540030383
12.9,5.363456596884761
13.5,5.797509043642029
13.6,6.4670103001481465
14.55,9.352510061178467
15.0,7.52772652709081
15.3,6.307843442008441
15.9,5.820461990063828
15.9,4.677368680976279
16.1,5.685263601823773
16.6,6.65331997326648
