mean_ranks,std_rank
8.05,10.719789591633266
12.8,10.261037417770627
13.7,13.250157231771503
13.8,12.053584068188552
15.2,10.992927018971992
15.3,10.165846961490441
15.4,13.243027515556168
15.5,5.275730597114805
16.0,14.275075403575904
16.05,13.170779948220396
16.7,10.781156400559883
16.7,11.225467077636953
16.7,11.245245909074445
16.75,10.390299963587832
16.9,14.479487406519457
17.8,10.282671507606052
18.05,10.688649223462345
18.5,13.051181300301263
19.5,6.835365551469959
19.7,9.718824803213378
19.9,9.550450832872293
20.0,9.297550453987569
20.1,8.464960458003072
20.1,8.723531395025756
20.5,6.553201083779166
20.9,8.305955025696257
21.2,9.114091653404998
21.3,8.70568141439192
21.9,9.596874491208062
22.1,6.740425308044985
22.4,9.465727652959385
23.1,8.04777401935881
23.1,8.659612513784255
23.2,8.941787044856055
23.5,11.335784048754634
23.6,9.22797678559908
