mean_ranks,std_rank
6.7,3.1287200080686173
7.5,10.244239573752873
10.1,8.812238963825003
10.4,3.7178249316263163
11.4,8.669230390037836
11.6,8.071899129421498
12.1,7.171703656268386
12.7,7.4244341348160825
13.1,6.100091074001363
13.3,12.211561006776416
13.9,9.768998583955948
16.1,10.332795684937677
17.4,7.260241808033058
17.7,12.798003316489995
17.9,8.143845665422585
18.0,9.910712498212337
18.1,13.370365240585862
18.3,11.528226229563678
18.9,14.011503210655958
19.8,9.461031186456957
19.9,8.4780763017195
20.2,6.425643072011461
20.6,8.422192905255336
20.7,11.79500836041341
21.3,11.944780357033686
21.8,10.706176825656403
22.5,9.789450103725608
22.7,8.743886753358346
24.0,8.137703743822469
25.3,8.206366092518932
25.7,5.926400443964466
25.9,5.704773829385741
26.4,6.43255608430877
26.7,6.8321137122985425
28.5,6.485025486114573
28.8,5.692099788303083
