metric,size,chi2,chi2_p,un_rows,un_cols,w_kendall,f_imandav,p_imandav,df1,df2,posthoc_written
mre,T1,40.24119335366866,0.24936410291829295,10,36,0.11497483815333903,1.1692024001000503,0.24222701608193323,35,315,False
mre,T2,111.88828828828832,5.708863912661474e-10,10,36,0.3196808236808238,4.229084690356561,1.96608055007822e-12,35,315,True
mre,T3,202.7135135135136,1.6650883283337882e-25,10,36,0.5791814671814673,12.386890780974761,4.191140937483087e-41,35,315,True
var,T1,24.37609405617249,0.3832338368539606,10,24,0.10598301763553257,1.066922863363388,0.3849488666417233,23,207,False
var,T2,27.518876551273653,0.23452367760911313,10,24,0.1196472893533637,1.2231752014363924,0.22774873403109397,23,207,False
var,T3,48.83130851295456,0.001308016801561535,10,24,0.2123100370128459,2.425815260955375,0.0005265352647917591,23,207,True
