system,strategy,technique,size_type,mre
BerkeleyDBC,dbs,SVR,T2,6.560849515068528
BerkeleyDBC,dbs,SVR,T3,4.30149447347913
BerkeleyDBC,dbs,kNN,T1,8.093027094852575
BerkeleyDBC,dbs,kNN,T2,6.701782214433353
BerkeleyDBC,dbs,kNN,T3,4.929439928235497
BerkeleyDBC,ddbs,CART,T1,5.117589472460039
BerkeleyDBC,ddbs,CART,T2,3.4918263327429013
BerkeleyDBC,ddbs,CART,T3,0.6160463003432425
BerkeleyDBC,ddbs,KRR,T1,7.942308921659418
BerkeleyDBC,ddbs,KRR,T2,6.0976749077445795
BerkeleyDBC,ddbs,KRR,T3,3.869424450912918
BerkeleyDBC,ddbs,MR,T1,7.679729491672501
BerkeleyDBC,ddbs,MR,T2,3.6366525297559433
BerkeleyDBC,ddbs,MR,T3,1.1619909342674517
BerkeleyDBC,ddbs,RF,T1,8.975404275090291
BerkeleyDBC,ddbs,RF,T2,5.233504559330363
BerkeleyDBC,ddbs,RF,T3,1.5863695693370332
BerkeleyDBC,ddbs,SVR,T1,8.85652920306419
BerkeleyDBC,ddbs,SVR,T2,5.903677795823899
BerkeleyDBC,ddbs,SVR,T3,4.295470325028905
BerkeleyDBC,ddbs,kNN,T1,8.802811198245884
BerkeleyDBC,ddbs,kNN,T2,6.999954637678751
BerkeleyDBC,ddbs,kNN,T3,5.635047103508117
BerkeleyDBC,random,CART,T1,3.7378804720549783
BerkeleyDBC,random,CART,T2,0.9590950160766897
BerkeleyDBC,random,CART,T3,0.09645915375721298
BerkeleyDBC,random,KRR,T1,5.241546974057066
BerkeleyDBC,random,KRR,T2,5.944933507206647
BerkeleyDBC,random,KRR,T3,2.387572307545981
BerkeleyDBC,random,MR,T1,4.617937572188596
BerkeleyDBC,random,MR,T2,1.2939682057878656
BerkeleyDBC,random,MR,T3,0.1711471798007288
BerkeleyDBC,random,RF,T1,5.656126084804883
BerkeleyDBC,random,RF,T2,2.10786128838327
BerkeleyDBC,random,RF,T3,0.2956022227244486
BerkeleyDBC,random,SVR,T1,4.020324626250159
BerkeleyDBC,random,SVR,T2,2.8435591284999386
BerkeleyDBC,random,SVR,T3,2.294072054785424
BerkeleyDBC,random,kNN,T1,5.279167578089255
BerkeleyDBC,random,kNN,T2,4.566396995302667
BerkeleyDBC,random,kNN,T3,3.453032329853629
BerkeleyDBC,rsbs,CART,T1,4.441568099300557
BerkeleyDBC,rsbs,CART,T2,1.2078894946906495
BerkeleyDBC,rsbs,CART,T3,0.2763888799389983
BerkeleyDBC,rsbs,KRR,T1,4.875300493792173
BerkeleyDBC,rsbs,KRR,T2,4.514431679593077
BerkeleyDBC,rsbs,KRR,T3,2.3116547785981703
BerkeleyDBC,rsbs,MR,T1,3.700435835105748
BerkeleyDBC,rsbs,MR,T2,1.6984557478873952
BerkeleyDBC,rsbs,MR,T3,0.7666866757115366
BerkeleyDBC,rsbs,RF,T1,5.010582828808502
BerkeleyDBC,rsbs,RF,T2,1.9554238568892361
BerkeleyDBC,rsbs,RF,T3,0.6070043592469846
BerkeleyDBC,rsbs,SVR,T1,4.374736958319168
BerkeleyDBC,rsbs,SVR,T2,2.738416024486055
BerkeleyDBC,rsbs,SVR,T3,2.260766210964215
BerkeleyDBC,rsbs,kNN,T1,4.822108865406338
BerkeleyDBC,rsbs,kNN,T2,3.85364084147425
BerkeleyDBC,rsbs,kNN,T3,2.893395493591888
BerkeleyDBC,sbs,CART,T1,12.900872283880478
BerkeleyDBC,sbs,CART,T2,2.6926746164145143
BerkeleyDBC,sbs,CART,T3,0.2836734666947917
BerkeleyDBC,sbs,KRR,T1,2.144193063690185
BerkeleyDBC,sbs,KRR,T2,3.212754331740584
BerkeleyDBC,sbs,KRR,T3,1.7398062515348018
BerkeleyDBC,sbs,MR,T1,1.6098743916244065
BerkeleyDBC,sbs,MR,T2,0.6237594372821579
BerkeleyDBC,sbs,MR,T3,0.2645678222020983
BerkeleyDBC,sbs,RF,T1,3.0762886786389827
BerkeleyDBC,sbs,RF,T2,2.0290754454336866
BerkeleyDBC,sbs,RF,T3,0.901539455950312
BerkeleyDBC,sbs,SVR,T1,13.538364043263464
BerkeleyDBC,sbs,SVR,T2,4.141895752268124
BerkeleyDBC,sbs,SVR,T3,2.029707262409283
BerkeleyDBC,sbs,kNN,T1,7.022270204763124
BerkeleyDBC,sbs,kNN,T2,5.315458650658635
BerkeleyDBC,sbs,kNN,T3,2.3110530831378298
BerkeleyDBC,twise,CART,T1,2.549057449065707
BerkeleyDBC,twise,CART,T2,0.9709186598141766
BerkeleyDBC,twise,CART,T3,0.0660646330562724
BerkeleyDBC,twise,KRR,T1,1.8598915245687095
BerkeleyDBC,twise,KRR,T2,5.377875679462246
BerkeleyDBC,twise,KRR,T3,2.332014199245203
BerkeleyDBC,twise,MR,T1,1.6138464390880782
BerkeleyDBC,twise,MR,T2,3.755322576757545
BerkeleyDBC,twise,MR,T3,0.1063746984167783
BerkeleyDBC,twise,RF,T1,1.568293947249107
BerkeleyDBC,twise,RF,T2,1.976418697852899
BerkeleyDBC,twise,RF,T3,0.122028228715279
BerkeleyDBC,twise,SVR,T1,0.9558339551733448
BerkeleyDBC,twise,SVR,T2,2.109905075600242
BerkeleyDBC,twise,SVR,T3,2.0559888236274104
BerkeleyDBC,twise,kNN,T1,1.1362310331739212
BerkeleyDBC,twise,kNN,T2,2.173169014005386
BerkeleyDBC,twise,kNN,T3,2.583657823364162
Dune,dbs,CART,T1,0.2135537290314051
Dune,dbs,CART,T2,0.19039988474682437
Dune,dbs,CART,T3,0.185741021730736
Dune,dbs,KRR,T1,0.20038007665179763
Dune,dbs,KRR,T2,0.186488677235376
Dune,dbs,KRR,T3,0.24624092997589467
Dune,dbs,MR,T1,0.19624433263023738
Dune,dbs,MR,T2,0.18934009931567894
Dune,dbs,MR,T3,0.2023665371219251
Dune,dbs,RF,T1,0.2042815689073084
Dune,dbs,RF,T2,0.1924984494644442
Dune,dbs,RF,T3,0.1850772409224577
Dune,dbs,SVR,T1,0.2248283035554363
Dune,dbs,SVR,T2,0.1966045235607856
Dune,dbs,SVR,T3,0.2297259425649213
Dune,dbs,kNN,T1,0.18521380024796769
Dune,dbs,kNN,T2,0.1897814479434535
Dune,dbs,kNN,T3,0.2549552009801473
Dune,ddbs,CART,T1,0.21710349646021496
Dune,ddbs,CART,T2,0.17077765329887337
Dune,ddbs,CART,T3,0.1512593926446531
Dune,ddbs,KRR,T1,0.19949243850576548
Dune,ddbs,KRR,T2,0.13985193383944336
Dune,ddbs,KRR,T3,0.134177286167834
Dune,ddbs,MR,T1,0.2097190818137592
Dune,ddbs,MR,T2,0.1385211930211978
Dune,ddbs,MR,T3,0.11595442965315851
Dune,ddbs,RF,T1,0.202506253210788
Dune,ddbs,RF,T2,0.1557510332116828
Dune,ddbs,RF,T3,0.13788775448346768
Dune,ddbs,SVR,T1,0.2160624525257465
Dune,ddbs,SVR,T2,0.1527412120480009
Dune,ddbs,SVR,T3,0.1167462960636968
Dune,ddbs,kNN,T1,0.20986451076673518
Dune,ddbs,kNN,T2,0.17693845589805182
