system,strategy,technique,size_type,mre
JavaGC,ddbs,KRR,T2,0.8616584566368358
JavaGC,ddbs,KRR,T3,0.8640864756612784
JavaGC,ddbs,MR,T1,1.3311908664127383
JavaGC,ddbs,MR,T2,0.5611624915626848
JavaGC,ddbs,MR,T3,0.265727007262149
JavaGC,ddbs,RF,T1,1.2143876854048097
JavaGC,ddbs,RF,T2,0.5740575306864727
JavaGC,ddbs,RF,T3,0.14558190517409994
JavaGC,ddbs,SVR,T1,1.077506870989623
JavaGC,ddbs,SVR,T2,1.0538471203895614
JavaGC,ddbs,SVR,T3,0.9463463933897404
JavaGC,ddbs,kNN,T1,1.2560887974959987
JavaGC,ddbs,kNN,T2,1.0539428833735809
JavaGC,ddbs,kNN,T3,1.000049251635366
JavaGC,random,CART,T1,1.1563838341403956
JavaGC,random,CART,T2,0.29717369620226597
JavaGC,random,CART,T3,0.09623500851233598
JavaGC,random,KRR,T1,1.0107038058297788
JavaGC,random,KRR,T2,0.7529505064651785
JavaGC,random,KRR,T3,0.5536783814758477
JavaGC,random,MR,T1,0.9908025310996829
JavaGC,random,MR,T2,0.41217704819140316
JavaGC,random,MR,T3,0.21895759576110327
JavaGC,random,RF,T1,1.0487201831719222
JavaGC,random,RF,T2,0.508375540449202
JavaGC,random,RF,T3,0.09260812973721318
JavaGC,random,SVR,T1,0.6894855906434464
JavaGC,random,SVR,T2,0.6081510396238707
JavaGC,random,SVR,T3,0.47217885589221903
JavaGC,random,kNN,T1,1.0418515865574205
JavaGC,random,kNN,T2,0.880187483392031
JavaGC,random,kNN,T3,0.7303095484262306
JavaGC,rsbs,CART,T1,1.090759380582692
JavaGC,rsbs,CART,T2,0.4291466962289326
JavaGC,rsbs,CART,T3,0.1607482388900619
JavaGC,rsbs,KRR,T1,1.0146460786071907
JavaGC,rsbs,KRR,T2,0.7598181042847024
JavaGC,rsbs,KRR,T3,0.6254779003972473
JavaGC,rsbs,MR,T1,0.9576368167811699
JavaGC,rsbs,MR,T2,0.5327029785746832
JavaGC,rsbs,MR,T3,0.34914421305509924
JavaGC,rsbs,RF,T1,1.0234594290183565
JavaGC,rsbs,RF,T2,0.5187809436000175
JavaGC,rsbs,RF,T3,0.1831644727093808
JavaGC,rsbs,SVR,T1,0.7984441027304057
JavaGC,rsbs,SVR,T2,0.6736291078631844
JavaGC,rsbs,SVR,T3,0.5900120816643238
JavaGC,rsbs,kNN,T1,1.0201067906828016
JavaGC,rsbs,kNN,T2,0.9055354951005765
JavaGC,rsbs,kNN,T3,0.8216892804324866
JavaGC,sbs,CART,T1,0.5035009515262924
JavaGC,sbs,CART,T2,0.4021856926692861
JavaGC,sbs,CART,T3,0.2325691149302993
JavaGC,sbs,KRR,T1,0.4428982165709871
JavaGC,sbs,KRR,T2,1.0540299417658885
JavaGC,sbs,KRR,T3,0.7760300687156884
JavaGC,sbs,MR,T1,0.4560606797253653
JavaGC,sbs,MR,T2,0.4833387905578576
JavaGC,sbs,MR,T3,0.2349984501691759
JavaGC,sbs,RF,T1,0.4592657146583176
JavaGC,sbs,RF,T2,0.3001069495891724
JavaGC,sbs,RF,T3,0.1920513328406306
JavaGC,sbs,SVR,T1,0.4349084193139231
JavaGC,sbs,SVR,T2,0.7532968483288658
JavaGC,sbs,SVR,T3,0.6345398862459734
JavaGC,sbs,kNN,T1,0.451269795189803
JavaGC,sbs,kNN,T2,0.7271339003343655
JavaGC,sbs,kNN,T3,0.6799821375950079
JavaGC,twise,CART,T1,0.5029209743791396
JavaGC,twise,CART,T2,1.0552816899215312
JavaGC,twise,CART,T3,0.1182301258500561
JavaGC,twise,KRR,T1,0.5736687131806544
JavaGC,twise,KRR,T2,0.8600633006689142
JavaGC,twise,KRR,T3,0.5409364476291088
JavaGC,twise,MR,T1,0.6165325973650423
JavaGC,twise,MR,T2,0.7999531319356071
JavaGC,twise,MR,T3,0.2504846064687708
JavaGC,twise,RF,T1,0.5162950388797029
JavaGC,twise,RF,T2,0.7750507620152882
JavaGC,twise,RF,T3,0.1156287363979571
JavaGC,twise,SVR,T1,0.5301413489433474
JavaGC,twise,SVR,T2,0.4954893547997637
JavaGC,twise,SVR,T3,0.4374461176383198
JavaGC,twise,kNN,T1,0.4829246732711002
JavaGC,twise,kNN,T2,0.6284434898283104
JavaGC,twise,kNN,T3,0.5637606482693944
LLVM,dbs,CART,T1,0.10365903802952907
LLVM,dbs,CART,T2,0.09163922777345791
LLVM,dbs,CART,T3,0.07164146086865085
LLVM,dbs,KRR,T1,0.08428555231428833
LLVM,dbs,KRR,T2,0.05190474780565269
LLVM,dbs,KRR,T3,0.0549940815969435
LLVM,dbs,MR,T1,0.0877743678084696
LLVM,dbs,MR,T2,0.055776842520515395
LLVM,dbs,MR,T3,0.05552588670609083
LLVM,dbs,RF,T1,0.0841919940665098
LLVM,dbs,RF,T2,0.07454925870024916
LLVM,dbs,RF,T3,0.049634702273753516
LLVM,dbs,SVR,T1,0.08531247203144753
LLVM,dbs,SVR,T2,0.05819547977880341
LLVM,dbs,SVR,T3,0.04791778418487404
LLVM,dbs,kNN,T1,0.09538186022483101
LLVM,dbs,kNN,T2,0.06842128348387515
LLVM,dbs,kNN,T3,0.05996628045732792
LLVM,ddbs,CART,T1,0.09867858101238115
LLVM,ddbs,CART,T2,0.08180315181257748
LLVM,ddbs,CART,T3,0.06385157834599094
LLVM,ddbs,KRR,T1,0.07943053961494599
LLVM,ddbs,KRR,T2,0.07244597796951217
LLVM,ddbs,KRR,T3,0.060824715444467714
LLVM,ddbs,MR,T1,0.08295663215081304
LLVM,ddbs,MR,T2,0.06512941720114075
LLVM,ddbs,MR,T3,0.06618658321827507
LLVM,ddbs,RF,T1,0.07981567329241136
LLVM,ddbs,RF,T2,0.06263249751294915
LLVM,ddbs,RF,T3,0.04514829965079097
LLVM,ddbs,SVR,T1,0.0807101549745413
LLVM,ddbs,SVR,T2,0.053385581643486654
LLVM,ddbs,SVR,T3,0.04452710085367971
LLVM,ddbs,kNN,T1,0.08971125716249195
LLVM,ddbs,kNN,T2,0.05817794890710552
LLVM,ddbs,kNN,T3,0.050889033371825286
LLVM,random,CART,T1,0.08405265255091456
LLVM,random,CART,T2,0.06592451365704363
LLVM,random,CART,T3,0.04874182032582316
LLVM,random,KRR,T1,0.07161766004368712
LLVM,random,KRR,T2,0.054528077967022116
LLVM,random,KRR,T3,0.03757620090266235
LLVM,random,MR,T1,0.07326318441752486
LLVM,random,MR,T2,0.04890049563795684
LLVM,random,MR,T3,0.04038930965274495
LLVM,random,RF,T1,0.07180630519759
LLVM,random,RF,T2,0.0593234628018599
LLVM,random,RF,T3,0.04315527399643312
LLVM,random,SVR,T1,0.07189606003580859
LLVM,random,SVR,T2,0.054299999962909073
LLVM,random,SVR,T3,0.04594589255548412
LLVM,random,kNN,T1,0.07877411025356487
LLVM,random,kNN,T2,0.05604509807038343
LLVM,random,kNN,T3,0.05033118046183376
LLVM,rsbs,CART,T1,0.08237539927749006
LLVM,rsbs,CART,T2,0.06427510687644877
LLVM,rsbs,CART,T3,0.048208560992027326
LLVM,rsbs,KRR,T1,0.07126821809076102
LLVM,rsbs,KRR,T2,0.050769999012908504
LLVM,rsbs,KRR,T3,0.03721074537426952
LLVM,rsbs,MR,T1,0.07255273556433259
LLVM,rsbs,MR,T2,0.04816859424947702
LLVM,rsbs,MR,T3,0.04047740416589695
LLVM,rsbs,RF,T1,0.07116355418379758
LLVM,rsbs,RF,T2,0.05933459860468743
LLVM,rsbs,RF,T3,0.04244899538853525
LLVM,rsbs,SVR,T1,0.07118458937182795
LLVM,rsbs,SVR,T2,0.05457566748542063
LLVM,rsbs,SVR,T3,0.046749992273829886
LLVM,rsbs,kNN,T1,0.07629744343414196
LLVM,rsbs,kNN,T2,0.05659193312313315
LLVM,rsbs,kNN,T3,0.05120336405578001
LLVM,sbs,CART,T1,0.1141207597474968
LLVM,sbs,CART,T2,0.0566923368011826
LLVM,sbs,CART,T3,0.0714007903403082
LLVM,sbs,KRR,T1,0.1141631126336187
LLVM,sbs,KRR,T2,0.0522938128493867
LLVM,sbs,KRR,T3,0.0426660300722479
LLVM,sbs,MR,T1,0.1137898207934835
LLVM,sbs,MR,T2,0.0520496839059043
LLVM,sbs,MR,T3,0.0476950369228989
LLVM,sbs,RF,T1,0.1141675426055865
LLVM,sbs,RF,T2,0.0625448677755235
LLVM,sbs,RF,T3,0.047509788525062
LLVM,sbs,SVR,T1,0.113815247375787
LLVM,sbs,SVR,T2,0.0591325351881854
LLVM,sbs,SVR,T3,0.0528058241499816
LLVM,sbs,kNN,T1,0.1141207597474968
LLVM,sbs,kNN,T2,0.0589522218439895
LLVM,sbs,kNN,T3,0.0526142982275694
LLVM,twise,CART,T1,0.0980030806989157
LLVM,twise,CART,T2,0.0590035002763492
LLVM,twise,CART,T3,0.0433094845216448
LLVM,twise,KRR,T1,0.053452499516349
LLVM,twise,KRR,T2,0.0398256053950251
LLVM,twise,KRR,T3,0.0285544767881171
LLVM,twise,MR,T1,0.0625689330649046
LLVM,twise,MR,T2,0.0411745787146499
LLVM,twise,MR,T3,0.0308224939903949
LLVM,twise,RF,T1,0.0569186072960244
LLVM,twise,RF,T2,0.0572110080010373
LLVM,twise,RF,T3,0.0374276597656304
LLVM,twise,SVR,T1,0.0549665512271874
LLVM,twise,SVR,T2,0.0475777875782144
LLVM,twise,SVR,T3,0.040768047302341
LLVM,twise,kNN,T1,0.0727354063365645
LLVM,twise,kNN,T2,0.050596860330905
LLVM,twise,kNN,T3,0.0481621900053217
Polly,dbs,CART,T1,0.4670604340339284
Polly,dbs,CART,T2,0.26275610266440824
Polly,dbs,CART,T3,0.3042494501799689
Polly,dbs,KRR,T1,0.31202044231296616
Polly,dbs,KRR,T2,0.2830270041131333
Polly,dbs,KRR,T3,0.21588964262589663
Polly,dbs,MR,T1,0.3487897126718705
Polly,dbs,MR,T2,0.2994116027442351
Polly,dbs,MR,T3,0.23815643670747558
Polly,dbs,RF,T1,0.32263578529873854
Polly,dbs,RF,T2,0.2876438798704947
Polly,dbs,RF,T3,0.28840996583819634
Polly,dbs,SVR,T1,0.3133554243705381
Polly,dbs,SVR,T2,0.29377169733165887
Polly,dbs,SVR,T3,0.22953118965787261
Polly,dbs,kNN,T1,0.3088211802036848
Polly,dbs,kNN,T2,0.2725401679282467
Polly,dbs,kNN,T3,0.23184103532302444
Polly,ddbs,CART,T1,0.38262482773969353
Polly,ddbs,CART,T2,0.22183180808850317
Polly,ddbs,CART,T3,0.039545387253749856
Polly,ddbs,KRR,T1,0.33975458402622877
Polly,ddbs,KRR,T2,0.2669263238247006
Polly,ddbs,KRR,T3,0.13749721899118328
Polly,ddbs,MR,T1,0.35574335840941407
Polly,ddbs,MR,T2,0.21250205035496336
Polly,ddbs,MR,T3,0.12376478985845253
Polly,ddbs,RF,T1,0.3606352204644748
Polly,ddbs,RF,T2,0.2840866004711622
Polly,ddbs,RF,T3,0.04976777752701824
Polly,ddbs,SVR,T1,0.35563216368992784
Polly,ddbs,SVR,T2,0.27628497034357047
Polly,ddbs,SVR,T3,0.14787926777279065
Polly,ddbs,kNN,T1,0.3557928803322163
Polly,ddbs,kNN,T2,0.29303579990839973
Polly,ddbs,kNN,T3,0.21318689352039788
Polly,random,CART,T1,0.3430372716052918
Polly,random,CART,T2,0.19335026134822364
Polly,random,CART,T3,0.03837690143841174
Polly,random,KRR,T1,0.30947552224901076
Polly,random,KRR,T2,0.25711920269331884
Polly,random,KRR,T3,0.15101922924253464
Polly,random,MR,T1,0.3180924325209142
Polly,random,MR,T2,0.23748967233272808
Polly,random,MR,T3,0.13127365422477977
Polly,random,RF,T1,0.31684951009548795
Polly,random,RF,T2,0.2640577376035498
Polly,random,RF,T3,0.04175594003322125
Polly,random,SVR,T1,0.3088436134966951
Polly,random,SVR,T2,0.28729322102661287
Polly,random,SVR,T3,0.16093976275942976
Polly,random,kNN,T1,0.30883477475498844
Polly,random,kNN,T2,0.26556272344590126
Polly,random,kNN,T3,0.20371590392732655
Polly,rsbs,CART,T1,0.33704958698760756
Polly,rsbs,CART,T2,0.20892362944938767
Polly,rsbs,CART,T3,0.04038791667206995
Polly,rsbs,KRR,T1,0.3098267981198021
Polly,rsbs,KRR,T2,0.25531614849888123
Polly,rsbs,KRR,T3,0.14252137522987984
Polly,rsbs,MR,T1,0.32090686645728844
Polly,rsbs,MR,T2,0.23827657536880698
Polly,rsbs,MR,T3,0.13062365586950303
Polly,rsbs,RF,T1,0.3197171361920018
Polly,rsbs,RF,T2,0.2631511888383777
Polly,rsbs,RF,T3,0.04181289069945593
Polly,rsbs,SVR,T1,0.31106098666493287
Polly,rsbs,SVR,T2,0.28564550122621446
Polly,rsbs,SVR,T3,0.15920344473636563
Polly,rsbs,kNN,T1,0.3109880291563771
Polly,rsbs,kNN,T2,0.2611130750230637
Polly,rsbs,kNN,T3,0.18837781629909828
Polly,sbs,CART,T1,0.3065725669049874
Polly,sbs,CART,T2,0.2786557196020317
Polly,sbs,CART,T3,0.048163870516339
Polly,sbs,KRR,T1,0.3084058413765934
Polly,sbs,KRR,T2,0.2691972006851736
Polly,sbs,KRR,T3,0.1511892002931158
Polly,sbs,MR,T1,0.3033738689640009
Polly,sbs,MR,T2,0.2968693662956191
Polly,sbs,MR,T3,0.1447815107165279
Polly,sbs,RF,T1,0.3047962743350776
Polly,sbs,RF,T2,0.2908374673486006
Polly,sbs,RF,T3,0.0820944223617067
Polly,sbs,SVR,T1,0.3060244682752912
Polly,sbs,SVR,T2,0.3012804470334158
Polly,sbs,SVR,T3,0.170632434096127
Polly,sbs,kNN,T1,0.304564634210002
Polly,sbs,kNN,T2,0.2803938359850342
Polly,sbs,kNN,T3,0.2091268365506259
Polly,twise,CART,T1,0.4437202812068461
Polly,twise,CART,T2,0.2126656906912244
Polly,twise,CART,T3,0.0301090486692104
Polly,twise,KRR,T1,0.4524289132774742
Polly,twise,KRR,T2,0.2753413686867343
Polly,twise,KRR,T3,0.1336161490517812
Polly,twise,MR,T1,0.4042861762781825
Polly,twise,MR,T2,0.1831194279762131
Polly,twise,MR,T3,0.1097907886340196
Polly,twise,RF,T1,0.5363238785278128
Polly,twise,RF,T2,0.2240249734011532
Polly,twise,RF,T3,0.0403690331459222
Polly,twise,SVR,T1,0.6538339464318742
Polly,twise,SVR,T2,0.3099721545313429
Polly,twise,SVR,T3,0.1438004170885927
Polly,twise,kNN,T1,0.561010581750204
Polly,twise,kNN,T2,0.3523741996360886
Polly,twise,kNN,T3,0.2507133036992569
VP9,dbs,CART,T1,3.888675878117611
VP9,dbs,CART,T2,3.851306763235482
VP9,dbs,CART,T3,1.5179685832856733
VP9,dbs,KRR,T1,5.912824510660689
VP9,dbs,KRR,T2,4.7990877323861065
VP9,dbs,KRR,T3,2.923588795276489
VP9,dbs,MR,T1,5.973018945846228
VP9,dbs,MR,T2,4.732070686564381
VP9,dbs,MR,T3,2.357890607144918
VP9,dbs,RF,T1,4.04119006184341
VP9,dbs,RF,T2,4.086027336834132
VP9,dbs,RF,T3,1.5745886910622549
VP9,dbs,SVR,T1,5.150148654991374
VP9,dbs,SVR,T2,4.922842103794507
VP9,dbs,SVR,T3,4.549149944227375
VP9,dbs,kNN,T1,4.799675792389464
VP9,dbs,kNN,T2,3.5828050249296997
VP9,dbs,kNN,T3,2.7003232882525285
VP9,ddbs,CART,T1,3.1956577235504398
VP9,ddbs,CART,T2,0.7338301114353979
VP9,ddbs,CART,T3,0.1955565197868672
VP9,ddbs,KRR,T1,3.400232681332534
VP9,ddbs,KRR,T2,2.291251412189688
VP9,ddbs,KRR,T3,1.07053982769668
VP9,ddbs,MR,T1,3.6268884974466995
VP9,ddbs,MR,T2,1.115891277081807
VP9,ddbs,MR,T3,0.5294177118053974
VP9,ddbs,RF,T1,2.833866729290684
VP9,ddbs,RF,T2,1.2401135255542828
VP9,ddbs,RF,T3,0.2143040527126264
VP9,ddbs,SVR,T1,2.382598093679012
VP9,ddbs,SVR,T2,1.9702876800168974
VP9,ddbs,SVR,T3,1.7273128333073924
VP9,ddbs,kNN,T1,2.85578608925737
VP9,ddbs,kNN,T2,2.491611536281987
VP9,ddbs,kNN,T3,1.9886438042225691
VP9,random,CART,T1,4.451157864774772
VP9,random,CART,T2,0.9085899636225178
VP9,random,CART,T3,0.11318455331283164
VP9,random,KRR,T1,4.372357840638676
VP9,random,KRR,T2,2.3333107650949048
VP9,random,KRR,T3,1.0837848218137782
VP9,random,MR,T1,3.9468751566646443
VP9,random,MR,T2,1.1976691034044797
VP9,random,MR,T3,0.4751851378306356
VP9,random,RF,T1,4.143780174702555
VP9,random,RF,T2,1.3040536136279965
VP9,random,RF,T3,0.1496207327577123
VP9,random,SVR,T1,3.6324192066192533
VP9,random,SVR,T2,2.504058221209742
VP9,random,SVR,T3,1.2467544567297941
VP9,random,kNN,T1,4.301212510161133
VP9,random,kNN,T2,4.0658774824307695
VP9,random,kNN,T3,3.0195680244793293
VP9,rsbs,CART,T1,2.9415763059997087
VP9,rsbs,CART,T2,0.6251128782322232
VP9,rsbs,CART,T3,0.17760491790076524
VP9,rsbs,KRR,T1,2.566196729482348
VP9,rsbs,KRR,T2,1.7310657883183094
VP9,rsbs,KRR,T3,0.7292740676255619
VP9,rsbs,MR,T1,2.3812322484540456
VP9,rsbs,MR,T2,0.9284227390776867
VP9,rsbs,MR,T3,0.3584490191773763
VP9,rsbs,RF,T1,2.523996100438273
VP9,rsbs,RF,T2,0.9229770325462741
VP9,rsbs,RF,T3,0.2210279162721477
VP9,rsbs,SVR,T1,1.9793104379307613
VP9,rsbs,SVR,T2,1.4351087665256466
VP9,rsbs,SVR,T3,0.8843901563188319
VP9,rsbs,kNN,T1,2.442326100052897
VP9,rsbs,kNN,T2,2.048480617162197
VP9,rsbs,kNN,T3,1.2566866376996897
VP9,sbs,CART,T1,6.5632727900055645
VP9,sbs,CART,T2,0.4172764705235409
VP9,sbs,CART,T3,0.2242534173957216
VP9,sbs,KRR,T1,5.990906395575331
VP9,sbs,KRR,T2,2.5205974347223923
VP9,sbs,KRR,T3,1.117906920389621
VP9,sbs,MR,T1,1.9550436305511207
VP9,sbs,MR,T2,0.5694001312253248
VP9,sbs,MR,T3,0.3198620068613361
VP9,sbs,RF,T1,3.010559816320378
VP9,sbs,RF,T2,0.415991734000399
VP9,sbs,RF,T3,0.3849447715704636
VP9,sbs,SVR,T1,8.511123689888482
VP9,sbs,SVR,T2,4.741181262765317
VP9,sbs,SVR,T3,1.3061111943110186
VP9,sbs,kNN,T1,6.630212499465467
VP9,sbs,kNN,T2,5.474096327844405
VP9,sbs,kNN,T3,1.9974344373013857
VP9,twise,CART,T1,4.8266308600902414
VP9,twise,CART,T2,1.3510650888256612
VP9,twise,CART,T3,0.1308005837948161
VP9,twise,KRR,T1,3.952346297127989
VP9,twise,KRR,T2,1.4784253523898152
VP9,twise,KRR,T3,0.9723151471030484
VP9,twise,MR,T1,4.86479688363787
VP9,twise,MR,T2,0.8326951298453593
VP9,twise,MR,T3,0.4644124154599137
VP9,twise,RF,T1,3.443032078183512
VP9,twise,RF,T2,1.0592317998777392
VP9,twise,RF,T3,0.1751300975615628
VP9,twise,SVR,T1,2.6806616253911706
VP9,twise,SVR,T2,1.733819516567957
VP9,twise,SVR,T3,1.132517220106689
VP9,twise,kNN,T1,4.692661283720518
VP9,twise,kNN,T2,3.1545972512277727
VP9,twise,kNN,T3,2.2678738232225
x264,dbs,CART,T1,0.33737588142725194
x264,dbs,CART,T2,0.21766578596138672
x264,dbs,CART,T3,0.08337680127569796
x264,dbs,KRR,T1,0.294615888565144
x264,dbs,KRR,T2,0.11198131292691553
x264,dbs,KRR,T3,0.10454809721316695
x264,dbs,MR,T1,0.3268850894135107
x264,dbs,MR,T2,0.12417648750751148
x264,dbs,MR,T3,0.0721088208468747
x264,dbs,RF,T1,0.2931562176143742
x264,dbs,RF,T2,0.1604674149756299
x264,dbs,RF,T3,0.07835619532387701
x264,dbs,SVR,T1,0.31481414801626584
x264,dbs,SVR,T2,0.22744124306099636
x264,dbs,SVR,T3,0.1716006182408788
x264,dbs,kNN,T1,0.3037471752600627
x264,dbs,kNN,T2,0.2715680719693258
x264,dbs,kNN,T3,0.2381443111402699
x264,ddbs,CART,T1,0.34562301124733535
x264,ddbs,CART,T2,0.12476593071332692
x264,ddbs,CART,T3,0.07893619294271549
x264,ddbs,KRR,T1,0.2951942656636221
x264,ddbs,KRR,T2,0.12325533946214236
x264,ddbs,KRR,T3,0.09210603763743638
x264,ddbs,MR,T1,0.33382071159799026
x264,ddbs,MR,T2,0.11223004023785878
x264,ddbs,MR,T3,0.07557644975970146
x264,ddbs,RF,T1,0.29716266806564007
x264,ddbs,RF,T2,0.1454145804870101
x264,ddbs,RF,T3,0.07902696666532703
x264,ddbs,SVR,T1,0.31821417090788323
x264,ddbs,SVR,T2,0.210210640393252
x264,ddbs,SVR,T3,0.15639009683155927
x264,ddbs,kNN,T1,0.30419372936312883
x264,ddbs,kNN,T2,0.24020107558422166
x264,ddbs,kNN,T3,0.19569520746609725
x264,random,CART,T1,0.41336345854341766
x264,random,CART,T2,0.11935670784022596
x264,random,CART,T3,0.07917876690757862
x264,random,KRR,T1,0.3348413178801772
x264,random,KRR,T2,0.14380800489384404
x264,random,KRR,T3,0.0860319769990901
x264,random,MR,T1,0.38312332383202796
x264,random,MR,T2,0.12404095438010207
x264,random,MR,T3,0.07656830112830136
x264,random,RF,T1,0.33892555644809413
x264,random,RF,T2,0.17332532097416947
x264,random,RF,T3,0.07610406844695071
x264,random,SVR,T1,0.36080219409918163
x264,random,SVR,T2,0.23065040602233242
x264,random,SVR,T3,0.15555494261750766
x264,random,kNN,T1,0.35048960424061043
x264,random,kNN,T2,0.2739407146556723
x264,random,kNN,T3,0.2162088126789179
x264,rsbs,CART,T1,0.4296232367477404
x264,rsbs,CART,T2,0.13813446664793494
x264,rsbs,CART,T3,0.07724267576293163
x264,rsbs,KRR,T1,0.36843447084812686
x264,rsbs,KRR,T2,0.14976530125120527
x264,rsbs,KRR,T3,0.08900672464889597
x264,rsbs,MR,T1,0.4183025969343228
x264,rsbs,MR,T2,0.1359813158158599
x264,rsbs,MR,T3,0.07712121805527816
x264,rsbs,RF,T1,0.371180260290938
x264,rsbs,RF,T2,0.1880977852334496
x264,rsbs,RF,T3,0.07657036563608793
x264,rsbs,SVR,T1,0.3983839119007741
x264,rsbs,SVR,T2,0.25172071031251925
x264,rsbs,SVR,T3,0.16809621351675788
x264,rsbs,kNN,T1,0.3860835411812334
x264,rsbs,kNN,T2,0.30900611067749273
x264,rsbs,kNN,T3,0.24946615374066602
x264,sbs,CART,T1,0.3561206218092671
x264,sbs,CART,T2,0.3299092471073671
x264,sbs,CART,T3,0.1824836903849793
x264,sbs,KRR,T1,0.3595730663771274
x264,sbs,KRR,T2,0.3287610223122741
x264,sbs,KRR,T3,0.0827713671388275
x264,sbs,MR,T1,0.358863968915933
x264,sbs,MR,T2,0.3289098745901511
x264,sbs,MR,T3,0.1251807968520648
x264,sbs,RF,T1,0.3585128323750666
x264,sbs,RF,T2,0.3376455419873573
x264,sbs,RF,T3,0.0762715371832492
x264,sbs,SVR,T1,0.3618445967969926
x264,sbs,SVR,T2,0.3332982271436884
x264,sbs,SVR,T3,0.1636139239022329
x264,sbs,kNN,T1,0.3581191269028352
x264,sbs,kNN,T2,0.333749723788537
x264,sbs,kNN,T3,0.1786288432091994
x264,twise,CART,T1,0.3078118143492964
x264,twise,CART,T2,0.114733855956173
x264,twise,CART,T3,0.0905829292752494
x264,twise,KRR,T1,0.2512995989832174
x264,twise,KRR,T2,0.1082218783164471
x264,twise,KRR,T3,0.0672942228034348
x264,twise,MR,T1,0.3361019163467904
x264,twise,MR,T2,0.1135957843173829
x264,twise,MR,T3,0.0808150664193381
x264,twise,RF,T1,0.2674687468488281
x264,twise,RF,T2,0.1664858268044296
x264,twise,RF,T3,0.0691860425063502
x264,twise,SVR,T1,0.3128600217989173
x264,twise,SVR,T2,0.1924427321551707
x264,twise,SVR,T3,0.1053563847832509
x264,twise,kNN,T1,0.2967595438434353
x264,twise,kNN,T2,0.247335847994173
x264,twise,kNN,T3,0.1966875223715798
