system,strategy,technique,size_type,var
JavaGC,random,SVR,T2,0.012821581800533804
JavaGC,random,SVR,T3,0.0015364338628145614
JavaGC,random,kNN,T1,0.24912457185453715
JavaGC,random,kNN,T2,0.033285019322077086
JavaGC,random,kNN,T3,0.0039865529173284476
JavaGC,rsbs,CART,T1,0.2687439120749814
JavaGC,rsbs,CART,T2,0.04521987117689909
JavaGC,rsbs,CART,T3,0.0061300054853918136
JavaGC,rsbs,KRR,T1,0.17617115927933052
JavaGC,rsbs,KRR,T2,0.021545264833425847
JavaGC,rsbs,KRR,T3,0.00637007311145219
JavaGC,rsbs,MR,T1,0.18043265217126256
JavaGC,rsbs,MR,T2,0.027031358813453036
JavaGC,rsbs,MR,T3,0.008099328130922111
JavaGC,rsbs,RF,T1,0.16639238305444276
JavaGC,rsbs,RF,T2,0.026073110456853628
JavaGC,rsbs,RF,T3,0.006151293727338629
JavaGC,rsbs,SVR,T1,0.18258912555783466
JavaGC,rsbs,SVR,T2,0.02141503941486409
JavaGC,rsbs,SVR,T3,0.0036414840443671566
JavaGC,rsbs,kNN,T1,0.15187281274583814
JavaGC,rsbs,kNN,T2,0.027142340684732626
JavaGC,rsbs,kNN,T3,0.005031329746753985
JavaGC,sbs,CART,T1,0.0
JavaGC,sbs,CART,T2,0.0
JavaGC,sbs,CART,T3,0.0
JavaGC,sbs,KRR,T1,0.0
JavaGC,sbs,KRR,T2,0.0
JavaGC,sbs,KRR,T3,0.0
JavaGC,sbs,MR,T1,0.0
JavaGC,sbs,MR,T2,0.0
JavaGC,sbs,MR,T3,0.0
JavaGC,sbs,RF,T1,0.0
JavaGC,sbs,RF,T2,0.0
JavaGC,sbs,RF,T3,0.0
JavaGC,sbs,SVR,T1,0.0
JavaGC,sbs,SVR,T2,0.0
JavaGC,sbs,SVR,T3,0.0
JavaGC,sbs,kNN,T1,0.0
JavaGC,sbs,kNN,T2,0.0
JavaGC,sbs,kNN,T3,0.0
JavaGC,twise,CART,T1,0.0
JavaGC,twise,CART,T2,0.0
JavaGC,twise,CART,T3,0.0
JavaGC,twise,KRR,T1,0.0
JavaGC,twise,KRR,T2,0.0
JavaGC,twise,KRR,T3,0.0
JavaGC,twise,MR,T1,0.0
JavaGC,twise,MR,T2,0.0
JavaGC,twise,MR,T3,0.0
JavaGC,twise,RF,T1,0.0
JavaGC,twise,RF,T2,0.0
JavaGC,twise,RF,T3,0.0
JavaGC,twise,SVR,T1,0.0
JavaGC,twise,SVR,T2,0.0
JavaGC,twise,SVR,T3,0.0
JavaGC,twise,kNN,T1,0.0
JavaGC,twise,kNN,T2,0.0
JavaGC,twise,kNN,T3,0.0
LLVM,dbs,CART,T1,0.00039351410836605227
LLVM,dbs,CART,T2,6.989645728771514e-05
LLVM,dbs,CART,T3,9.005299086076899e-05
LLVM,dbs,KRR,T1,0.0006083118232008184
LLVM,dbs,KRR,T2,0.00034364012877881485
LLVM,dbs,KRR,T3,0.00031283092240190144
LLVM,dbs,MR,T1,0.0005379680966454278
LLVM,dbs,MR,T2,0.0002538267945636868
LLVM,dbs,MR,T3,0.0002314537162129712
LLVM,dbs,RF,T1,0.0006870673122225098
LLVM,dbs,RF,T2,0.0002657280819682385
LLVM,dbs,RF,T3,6.286365122849375e-05
LLVM,dbs,SVR,T1,0.0006636918562698367
LLVM,dbs,SVR,T2,0.0001690422842374026
LLVM,dbs,SVR,T3,3.272021753473555e-05
LLVM,dbs,kNN,T1,0.00037388316367526815
LLVM,dbs,kNN,T2,0.0002732460663937137
LLVM,dbs,kNN,T3,0.00013543246276015523
LLVM,ddbs,CART,T1,0.00044150634169118347
LLVM,ddbs,CART,T2,0.0001428062390128677
LLVM,ddbs,CART,T3,0.00013276952512664145
LLVM,ddbs,KRR,T1,0.0006159883857363462
LLVM,ddbs,KRR,T2,0.0007004375301080109
LLVM,ddbs,KRR,T3,0.00030899807035918766
LLVM,ddbs,MR,T1,0.0005366035455639978
LLVM,ddbs,MR,T2,0.00031717181115158437
LLVM,ddbs,MR,T3,0.0002296581239947989
LLVM,ddbs,RF,T1,0.0006587157526875945
LLVM,ddbs,RF,T2,0.00011645786282948798
LLVM,ddbs,RF,T3,5.8173993667430964e-05
LLVM,ddbs,SVR,T1,0.0006227699275197204
LLVM,ddbs,SVR,T2,5.589552956719209e-05
LLVM,ddbs,SVR,T3,1.2552813204987403e-05
LLVM,ddbs,kNN,T1,0.000457180339996431
LLVM,ddbs,kNN,T2,0.00012311528072964767
LLVM,ddbs,kNN,T3,4.795284379458473e-05
LLVM,random,CART,T1,0.0002530867522648267
LLVM,random,CART,T2,8.114825519110022e-05
LLVM,random,CART,T3,8.823703840917904e-05
LLVM,random,KRR,T1,0.00021244169759101762
LLVM,random,KRR,T2,0.00029429417647557847
LLVM,random,KRR,T3,0.0001001571706852067
LLVM,random,MR,T1,0.00018438621757371103
LLVM,random,MR,T2,0.00017171481512194252
LLVM,random,MR,T3,8.29553309868295e-05
LLVM,random,RF,T1,0.00021845773885701515
LLVM,random,RF,T2,4.8594838939328186e-05
LLVM,random,RF,T3,3.45078605157433e-05
LLVM,random,SVR,T1,0.0002048113203087478
LLVM,random,SVR,T2,3.8606128075924604e-05
LLVM,random,SVR,T3,1.5716345681482035e-05
LLVM,random,kNN,T1,0.00024327090008753447
LLVM,random,kNN,T2,4.443177282191684e-05
LLVM,random,kNN,T3,1.7643764300535208e-05
LLVM,rsbs,CART,T1,0.0002547631462396261
LLVM,rsbs,CART,T2,5.7463787653361705e-05
LLVM,rsbs,CART,T3,7.145465884847122e-05
LLVM,rsbs,KRR,T1,0.0002185543385527062
LLVM,rsbs,KRR,T2,0.0002486217197729371
LLVM,rsbs,KRR,T3,0.0001332074918043927
LLVM,rsbs,MR,T1,0.00017838096813133157
LLVM,rsbs,MR,T2,0.00013070492673435144
LLVM,rsbs,MR,T3,9.808317494870685e-05
LLVM,rsbs,RF,T1,0.00021241715295777262
LLVM,rsbs,RF,T2,3.874438046220553e-05
LLVM,rsbs,RF,T3,3.486686208725831e-05
LLVM,rsbs,SVR,T1,0.00019774456439572793
LLVM,rsbs,SVR,T2,2.6131682451057533e-05
LLVM,rsbs,SVR,T3,1.938574777599838e-05
LLVM,rsbs,kNN,T1,0.0002052568894870098
LLVM,rsbs,kNN,T2,3.195659102308282e-05
LLVM,rsbs,kNN,T3,2.1895654272976268e-05
LLVM,sbs,CART,T1,0.0
LLVM,sbs,CART,T2,0.0
LLVM,sbs,CART,T3,0.0
LLVM,sbs,KRR,T1,0.0
LLVM,sbs,KRR,T2,0.0
LLVM,sbs,KRR,T3,0.0
LLVM,sbs,MR,T1,0.0
LLVM,sbs,MR,T2,0.0
LLVM,sbs,MR,T3,0.0
LLVM,sbs,RF,T1,0.0
LLVM,sbs,RF,T2,0.0
LLVM,sbs,RF,T3,0.0
LLVM,sbs,SVR,T1,0.0
LLVM,sbs,SVR,T2,0.0
LLVM,sbs,SVR,T3,0.0
LLVM,sbs,kNN,T1,0.0
LLVM,sbs,kNN,T2,0.0
LLVM,sbs,kNN,T3,0.0
LLVM,twise,CART,T1,0.0
LLVM,twise,CART,T2,0.0
LLVM,twise,CART,T3,0.0
LLVM,twise,KRR,T1,0.0
LLVM,twise,KRR,T2,0.0
LLVM,twise,KRR,T3,0.0
LLVM,twise,MR,T1,0.0
LLVM,twise,MR,T2,0.0
LLVM,twise,MR,T3,0.0
LLVM,twise,RF,T1,0.0
LLVM,twise,RF,T2,0.0
LLVM,twise,RF,T3,0.0
LLVM,twise,SVR,T1,0.0
LLVM,twise,SVR,T2,0.0
LLVM,twise,SVR,T3,0.0
LLVM,twise,kNN,T1,0.0
LLVM,twise,kNN,T2,0.0
LLVM,twise,kNN,T3,0.0
Polly,dbs,CART,T1,0.01552630227506849
Polly,dbs,CART,T2,0.004028048139779073
Polly,dbs,CART,T3,0.00013866547387932467
Polly,dbs,KRR,T1,0.0004156317817822612
Polly,dbs,KRR,T2,5.98518787131463e-05
Polly,dbs,KRR,T3,1.4094889796480611e-05
Polly,dbs,MR,T1,0.004314112762191502
Polly,dbs,MR,T2,6.403106089063491e-05
Polly,dbs,MR,T3,5.672345518967086e-05
Polly,dbs,RF,T1,0.0004926932247632076
Polly,dbs,RF,T2,0.00012423719595156479
Polly,dbs,RF,T3,0.000332613228327245
Polly,dbs,SVR,T1,0.00031284953542057574
Polly,dbs,SVR,T2,3.4942818211636355e-05
Polly,dbs,SVR,T3,1.3450599617090236e-05
Polly,dbs,kNN,T1,0.0005467066069073688
Polly,dbs,kNN,T2,8.599779502857316e-05
Polly,dbs,kNN,T3,7.695247408510933e-06
Polly,ddbs,CART,T1,0.008212821184723515
Polly,ddbs,CART,T2,0.006990217867882378
Polly,ddbs,CART,T3,1.4493330591856702e-05
Polly,ddbs,KRR,T1,0.0030726924493559124
Polly,ddbs,KRR,T2,0.00017865582868981
Polly,ddbs,KRR,T3,3.7304845806127245e-05
Polly,ddbs,MR,T1,0.004473529600897987
Polly,ddbs,MR,T2,0.00076009435265227
Polly,ddbs,MR,T3,2.0932459744197914e-05
Polly,ddbs,RF,T1,0.0032239995596107865
Polly,ddbs,RF,T2,0.00046810760223637345
Polly,ddbs,RF,T3,2.9395732431167144e-05
Polly,ddbs,SVR,T1,0.008814040487948123
Polly,ddbs,SVR,T2,6.654576474310083e-05
Polly,ddbs,SVR,T3,2.3561611294570525e-05
Polly,ddbs,kNN,T1,0.003878422466529833
Polly,ddbs,kNN,T2,0.000151967732090042
Polly,ddbs,kNN,T3,9.528493679993396e-06
Polly,random,CART,T1,0.001883297622913512
Polly,random,CART,T2,0.01184076479028732
Polly,random,CART,T3,0.00014075167689318595
Polly,random,KRR,T1,0.00019767533109083698
Polly,random,KRR,T2,0.00022064278817019437
Polly,random,KRR,T3,0.00014992392263229144
Polly,random,MR,T1,0.0015111097565706202
Polly,random,MR,T2,0.0011585390093639336
Polly,random,MR,T3,8.596632940099186e-05
Polly,random,RF,T1,0.0003747708386263916
Polly,random,RF,T2,0.0004915587021998639
Polly,random,RF,T3,0.00012415322987088657
Polly,random,SVR,T1,0.0001426466309791658
Polly,random,SVR,T2,0.0001171117749447997
Polly,random,SVR,T3,0.0001981090975422194
Polly,random,kNN,T1,0.000185809319561168
Polly,random,kNN,T2,0.0001650606669887848
Polly,random,kNN,T3,0.0001328452153087728
Polly,rsbs,CART,T1,0.003438740303548376
Polly,rsbs,CART,T2,0.009098906338594462
Polly,rsbs,CART,T3,0.0002666506240055127
Polly,rsbs,KRR,T1,0.0005316762545990235
Polly,rsbs,KRR,T2,0.00019529933761290865
Polly,rsbs,KRR,T3,0.00015753664930709497
Polly,rsbs,MR,T1,0.001256971219650646
Polly,rsbs,MR,T2,0.0010729666857940236
Polly,rsbs,MR,T3,0.00010278681062755968
Polly,rsbs,RF,T1,0.0005801663509193649
Polly,rsbs,RF,T2,0.000408043525636651
Polly,rsbs,RF,T3,0.00016656704099454926
Polly,rsbs,SVR,T1,0.00031107853822391493
Polly,rsbs,SVR,T2,9.802015140575681e-05
Polly,rsbs,SVR,T3,0.0002777090925907384
Polly,rsbs,kNN,T1,0.00039828468907162305
Polly,rsbs,kNN,T2,0.00017425629561641922
Polly,rsbs,kNN,T3,0.00015246066600117949
Polly,sbs,CART,T1,0.0
Polly,sbs,CART,T2,0.0
Polly,sbs,CART,T3,0.0
Polly,sbs,KRR,T1,0.0
Polly,sbs,KRR,T2,0.0
Polly,sbs,KRR,T3,0.0
Polly,sbs,MR,T1,0.0
Polly,sbs,MR,T2,0.0
Polly,sbs,MR,T3,0.0
Polly,sbs,RF,T1,0.0
Polly,sbs,RF,T2,0.0
Polly,sbs,RF,T3,0.0
Polly,sbs,SVR,T1,0.0
Polly,sbs,SVR,T2,0.0
Polly,sbs,SVR,T3,0.0
Polly,sbs,kNN,T1,0.0
Polly,sbs,kNN,T2,0.0
Polly,sbs,kNN,T3,0.0
Polly,twise,CART,T1,0.0
Polly,twise,CART,T2,0.0
Polly,twise,CART,T3,0.0
Polly,twise,KRR,T1,0.0
Polly,twise,KRR,T2,0.0
Polly,twise,KRR,T3,0.0
Polly,twise,MR,T1,0.0
Polly,twise,MR,T2,0.0
Polly,twise,MR,T3,0.0
Polly,twise,RF,T1,0.0
Polly,twise,RF,T2,0.0
Polly,twise,RF,T3,0.0
Polly,twise,SVR,T1,0.0
Polly,twise,SVR,T2,0.0
Polly,twise,SVR,T3,0.0
Polly,twise,kNN,T1,0.0
Polly,twise,kNN,T2,0.0
Polly,twise,kNN,T3,0.0
VP9,dbs,CART,T1,4.16554068222736
VP9,dbs,CART,T2,8.82601418155447
VP9,dbs,CART,T3,0.7320032975191516
VP9,dbs,KRR,T1,3.561668548160769
VP9,dbs,KRR,T2,0.6058379065809408
VP9,dbs,KRR,T3,0.47493235236888187
VP9,dbs,MR,T1,4.635055654291213
VP9,dbs,MR,T2,3.503072012792084
VP9,dbs,MR,T3,0.3865783077176515
VP9,dbs,RF,T1,2.731383656175133
VP9,dbs,RF,T2,3.900590957873721
VP9,dbs,RF,T3,0.06042524382708067
VP9,dbs,SVR,T1,11.77207275184557
VP9,dbs,SVR,T2,1.03275299315444
VP9,dbs,SVR,T3,0.3009782800961896
VP9,dbs,kNN,T1,7.169952688406089
VP9,dbs,kNN,T2,1.480238786496406
VP9,dbs,kNN,T3,0.60729584882693
VP9,ddbs,CART,T1,3.394879906609795
VP9,ddbs,CART,T2,0.1728854766700573
VP9,ddbs,CART,T3,0.0027355236991845095
VP9,ddbs,KRR,T1,3.9866785493899073
VP9,ddbs,KRR,T2,0.2817993304343325
VP9,ddbs,KRR,T3,0.012407869954892516
VP9,ddbs,MR,T1,7.458774688168957
VP9,ddbs,MR,T2,0.15330286852279384
VP9,ddbs,MR,T3,0.005160361729046627
VP9,ddbs,RF,T1,2.528326362283189
VP9,ddbs,RF,T2,0.25976408472215884
VP9,ddbs,RF,T3,0.001404665855684279
VP9,ddbs,SVR,T1,2.465604849636982
VP9,ddbs,SVR,T2,0.21079121007113302
VP9,ddbs,SVR,T3,0.04374293369075328
VP9,ddbs,kNN,T1,3.039694022398141
VP9,ddbs,kNN,T2,0.4155884511325972
VP9,ddbs,kNN,T3,0.030425050213137836
VP9,random,CART,T1,6.6796165956971425
VP9,random,CART,T2,0.3584111661528057
VP9,random,CART,T3,7.171958883926628e-05
VP9,random,KRR,T1,6.0426709457062255
VP9,random,KRR,T2,0.3783171730968403
VP9,random,KRR,T3,0.010129314893872506
VP9,random,MR,T1,5.04087889182568
VP9,random,MR,T2,0.1705247163333507
VP9,random,MR,T3,0.004468007436202305
VP9,random,RF,T1,5.809518695041058
VP9,random,RF,T2,0.16348519285440088
VP9,random,RF,T3,0.00226165599402268
VP9,random,SVR,T1,7.745087657235272
VP9,random,SVR,T2,0.6216313811039618
VP9,random,SVR,T3,0.026749652178587418
VP9,random,kNN,T1,6.106336445224849
VP9,random,kNN,T2,0.979876107525025
VP9,random,kNN,T3,0.15968231404659447
VP9,rsbs,CART,T1,3.913317046964284
VP9,rsbs,CART,T2,0.2347957867280687
VP9,rsbs,CART,T3,0.005788763108534964
VP9,rsbs,KRR,T1,2.9065034154131024
VP9,rsbs,KRR,T2,0.17293196717146903
VP9,rsbs,KRR,T3,0.009266367325284198
VP9,rsbs,MR,T1,3.0505453895911336
VP9,rsbs,MR,T2,0.13604205294424151
VP9,rsbs,MR,T3,0.00276274061989778
VP9,rsbs,RF,T1,2.4940244616088205
VP9,rsbs,RF,T2,0.13328595481590386
VP9,rsbs,RF,T3,0.003475367487900847
VP9,rsbs,SVR,T1,1.34016957571876
VP9,rsbs,SVR,T2,0.09329014232124055
VP9,rsbs,SVR,T3,0.025227687187283312
VP9,rsbs,kNN,T1,2.6154413994927164
VP9,rsbs,kNN,T2,0.33867520807077733
VP9,rsbs,kNN,T3,0.03491292330052948
VP9,sbs,CART,T1,0.0
VP9,sbs,CART,T2,0.0
VP9,sbs,CART,T3,0.0
VP9,sbs,KRR,T1,0.0
VP9,sbs,KRR,T2,0.0
VP9,sbs,KRR,T3,0.0
VP9,sbs,MR,T1,0.0
VP9,sbs,MR,T2,0.0
VP9,sbs,MR,T3,0.0
VP9,sbs,RF,T1,0.0
VP9,sbs,RF,T2,0.0
VP9,sbs,RF,T3,0.0
VP9,sbs,SVR,T1,0.0
VP9,sbs,SVR,T2,0.0
VP9,sbs,SVR,T3,0.0
VP9,sbs,kNN,T1,0.0
VP9,sbs,kNN,T2,0.0
VP9,sbs,kNN,T3,0.0
VP9,twise,CART,T1,0.0
VP9,twise,CART,T2,0.0
VP9,twise,CART,T3,0.0
VP9,twise,KRR,T1,0.0
VP9,twise,KRR,T2,0.0
VP9,twise,KRR,T3,0.0
VP9,twise,MR,T1,0.0
VP9,twise,MR,T2,0.0
VP9,twise,MR,T3,0.0
VP9,twise,RF,T1,0.0
VP9,twise,RF,T2,0.0
VP9,twise,RF,T3,0.0
VP9,twise,SVR,T1,0.0
VP9,twise,SVR,T2,0.0
VP9,twise,SVR,T3,0.0
VP9,twise,kNN,T1,0.0
VP9,twise,kNN,T2,0.0
VP9,twise,kNN,T3,0.0
x264,dbs,CART,T1,0.007617976468015185
x264,dbs,CART,T2,0.003989138011535285
x264,dbs,CART,T3,0.00054413198913984
x264,dbs,KRR,T1,0.002445155116771069
x264,dbs,KRR,T2,0.003178103562428965
x264,dbs,KRR,T3,0.0008057714049798702
x264,dbs,MR,T1,0.00013860890303414814
x264,dbs,MR,T2,0.003061177560644463
x264,dbs,MR,T3,0.0004377454685118263
x264,dbs,RF,T1,0.0026101354946134097
x264,dbs,RF,T2,0.001767816515384394
x264,dbs,RF,T3,0.00025711281927763243
x264,dbs,SVR,T1,0.0006740574888217326
x264,dbs,SVR,T2,0.0009560782537569862
x264,dbs,SVR,T3,0.0009451716577791759
x264,dbs,kNN,T1,0.001565341754334869
x264,dbs,kNN,T2,0.0005524532008868067
x264,dbs,kNN,T3,0.0007855176768049922
x264,ddbs,CART,T1,0.008957949959425348
x264,ddbs,CART,T2,0.002472888608202484
x264,ddbs,CART,T3,9.450037154424431e-05
x264,ddbs,KRR,T1,0.00236375841403325
x264,ddbs,KRR,T2,0.00135070702237849
x264,ddbs,KRR,T3,0.00016598215245217362
x264,ddbs,MR,T1,0.0011118674933391864
x264,ddbs,MR,T2,0.0020006889948801527
x264,ddbs,MR,T3,7.408820794982342e-05
x264,ddbs,RF,T1,0.0023996182849756243
x264,ddbs,RF,T2,0.0005491407771100684
x264,ddbs,RF,T3,4.131605201765098e-05
x264,ddbs,SVR,T1,0.00173593761454423
x264,ddbs,SVR,T2,0.0003869748899478199
x264,ddbs,SVR,T3,0.00021388107133860608
x264,ddbs,kNN,T1,0.0024146712797392363
x264,ddbs,kNN,T2,0.0002179880012158648
x264,ddbs,kNN,T3,0.00010576815857538502
x264,random,CART,T1,0.021796710702741407
x264,random,CART,T2,0.0018544004279125456
x264,random,CART,T3,0.0002888758080495208
x264,random,KRR,T1,0.01137697579131048
x264,random,KRR,T2,0.001761551507516116
x264,random,KRR,T3,0.00020982770513542498
x264,random,MR,T1,0.008786363281719504
x264,random,MR,T2,0.0021255441939820696
x264,random,MR,T3,0.0002674633608952607
x264,random,RF,T1,0.012155553268357856
x264,random,RF,T2,0.0022968221852620236
x264,random,RF,T3,0.00018965480292963062
x264,random,SVR,T1,0.009213961484649168
x264,random,SVR,T2,0.001424292246903993
x264,random,SVR,T3,0.0004946027192625164
x264,random,kNN,T1,0.010607107691842511
x264,random,kNN,T2,0.0023711721832957934
x264,random,kNN,T3,0.0009818149759798804
x264,rsbs,CART,T1,0.024990945085963945
x264,rsbs,CART,T2,0.004432851695535269
x264,rsbs,CART,T3,0.0005501235891526212
x264,rsbs,KRR,T1,0.015605657533105142
x264,rsbs,KRR,T2,0.0026516773667775734
x264,rsbs,KRR,T3,0.000559120581473896
x264,rsbs,MR,T1,0.012205174550788834
x264,rsbs,MR,T2,0.0036278933893812084
x264,rsbs,MR,T3,0.0003889329542666763
x264,rsbs,RF,T1,0.014936187506368003
x264,rsbs,RF,T2,0.0033074432031226903
x264,rsbs,RF,T3,0.0003674062804250543
x264,rsbs,SVR,T1,0.01397660440379193
x264,rsbs,SVR,T2,0.0022666880106865703
x264,rsbs,SVR,T3,0.0008515839625900205
x264,rsbs,kNN,T1,0.014633606951003818
x264,rsbs,kNN,T2,0.0036985809835966494
x264,rsbs,kNN,T3,0.0020911559105022096
x264,sbs,CART,T1,0.0
x264,sbs,CART,T2,0.0
x264,sbs,CART,T3,0.0
x264,sbs,KRR,T1,0.0
x264,sbs,KRR,T2,0.0
x264,sbs,KRR,T3,0.0
x264,sbs,MR,T1,0.0
x264,sbs,MR,T2,0.0
x264,sbs,MR,T3,0.0
x264,sbs,RF,T1,0.0
x264,sbs,RF,T2,0.0
x264,sbs,RF,T3,0.0
x264,sbs,SVR,T1,0.0
x264,sbs,SVR,T2,0.0
x264,sbs,SVR,T3,0.0
x264,sbs,kNN,T1,0.0
x264,sbs,kNN,T2,0.0
x264,sbs,kNN,T3,0.0
x264,twise,CART,T1,0.0
x264,twise,CART,T2,0.0
x264,twise,CART,T3,0.0
x264,twise,KRR,T1,0.0
x264,twise,KRR,T2,0.0
x264,twise,KRR,T3,0.0
x264,twise,MR,T1,0.0
x264,twise,MR,T2,0.0
x264,twise,MR,T3,0.0
x264,twise,RF,T1,0.0
x264,twise,RF,T2,0.0
x264,twise,RF,T3,0.0
x264,twise,SVR,T1,0.0
x264,twise,SVR,T2,0.0
x264,twise,SVR,T3,0.0
x264,twise,kNN,T1,0.0
x264,twise,kNN,T2,0.0
x264,twise,kNN,T3,0.0
