mean_ranks,std_rank
9.4,6.995236474439826
9.5,7.560864148142503
9.95,7.041346146551493
10.4,8.669230390037836
10.55,7.235905840551916
10.65,5.647270727233348
11.4,5.316640543300503
11.4,7.351492667781452
11.5,6.078194176270157
11.5,5.296749527356901
11.55,9.081268878545798
12.05,9.793563646032474
12.4,6.899275324264136
12.6,7.214183560490019
12.7,6.219146064997813
12.85,8.615393200545173
12.9,5.087020520675907
13.2,7.192588778272628
13.2,8.66410218468519
13.9,4.383048152953731
14.4,6.2574400161372346
16.3,5.2925524193068805
17.2,5.2451035367389185
18.5,4.552166761249221
