comb1,comb2,p,median_diff_combs,p_holm,p_bh,sig_holm,sig_bh
sbs_kNN,rsbs_RF,0.00390625,0.1895474172954204,1.0,0.03115110759493671,False,True
sbs_kNN,rsbs_CART,0.00390625,0.19259323797129113,1.0,0.03115110759493671,False,True
sbs_kNN,ddbs_MR,0.00390625,0.21535438553978728,1.0,0.03115110759493671,False,True
sbs_KRR,rsbs_CART,0.00390625,0.1894507882448125,1.0,0.03115110759493671,False,True
dbs_kNN,ddbs_CART,0.00390625,0.2337262618403707,1.0,0.03115110759493671,False,True
random_CART,sbs_KRR,0.00390625,-0.3088975195863951,1.0,0.03115110759493671,False,True
random_CART,sbs_SVR,0.00390625,-0.3024611278100412,1.0,0.03115110759493671,False,True
random_CART,sbs_kNN,0.00390625,-0.3246374604803305,1.0,0.03115110759493671,False,True
dbs_kNN,ddbs_SVR,0.00390625,0.11647993427447512,1.0,0.03115110759493671,False,True
sbs_SVR,ddbs_MR,0.00390625,0.17701238879933553,1.0,0.03115110759493671,False,True
sbs_SVR,rsbs_RF,0.00390625,0.11910327932406958,1.0,0.03115110759493671,False,True
twise_MR,ddbs_SVR,0.005859375,-0.15076544477313775,1.0,0.035494290865384616,False,True
ddbs_CART,ddbs_kNN,0.005859375,-0.13949895743806295,1.0,0.035494290865384616,False,True
random_kNN,twise_SVR,0.005859375,0.1629702410817706,1.0,0.035494290865384616,False,True
ddbs_MR,rsbs_KRR,0.005859375,-0.12073485543296773,1.0,0.035494290865384616,False,True
random_kNN,random_RF,0.005859375,0.236213668312166,1.0,0.035494290865384616,False,True
ddbs_kNN,ddbs_SVR,0.005859375,0.027093839520510254,1.0,0.035494290865384616,False,True
random_kNN,rsbs_CART,0.005859375,0.2934235175854179,1.0,0.035494290865384616,False,True
random_kNN,rsbs_RF,0.005859375,0.22362473460711813,1.0,0.035494290865384616,False,True
random_kNN,random_SVR,0.005859375,0.16522763023380238,1.0,0.035494290865384616,False,True
rsbs_MR,rsbs_SVR,0.005859375,-0.12833276189258025,1.0,0.035494290865384616,False,True
sbs_KRR,rsbs_RF,0.005859375,0.17001137244860232,1.0,0.035494290865384616,False,True
sbs_kNN,ddbs_CART,0.005859375,0.22413589194221667,1.0,0.035494290865384616,False,True
random_RF,sbs_KRR,0.005859375,-0.2931258946363089,1.0,0.035494290865384616,False,True
random_MR,rsbs_KRR,0.005859375,-0.19395600461035076,1.0,0.035494290865384616,False,True
twise_RF,dbs_SVR,0.005859375,-0.310949252309265,1.0,0.035494290865384616,False,True
random_MR,random_SVR,0.005859375,-0.15129172153734902,1.0,0.035494290865384616,False,True
random_MR,dbs_KRR,0.005859375,-0.1518925265803055,1.0,0.035494290865384616,False,True
ddbs_SVR,rsbs_RF,0.005859375,0.06435103126307916,1.0,0.035494290865384616,False,True
random_CART,dbs_MR,0.005859375,-0.1255806191233897,1.0,0.035494290865384616,False,True
random_CART,random_kNN,0.005859375,-0.3687988970026058,1.0,0.035494290865384616,False,True
random_KRR,ddbs_MR,0.005859375,0.11820258362042456,1.0,0.035494290865384616,False,True
twise_RF,sbs_kNN,0.005859375,-0.15645147799414724,1.0,0.035494290865384616,False,True
sbs_SVR,ddbs_CART,0.005859375,0.1850422630604962,1.0,0.035494290865384616,False,True
dbs_kNN,ddbs_RF,0.005859375,0.21645956885962733,1.0,0.035494290865384616,False,True
rsbs_KRR,rsbs_MR,0.005859375,0.12207734942004676,1.0,0.035494290865384616,False,True
twise_CART,ddbs_kNN,0.009765625,-0.10291866442261194,1.0,0.04557291666666667,False,True
random_SVR,rsbs_MR,0.009765625,0.08505857562783002,1.0,0.04557291666666667,False,True
random_CART,rsbs_KRR,0.009765625,-0.26230514761654705,1.0,0.04557291666666667,False,True
random_kNN,ddbs_CART,0.009765625,0.3311495343635955,1.0,0.04557291666666667,False,True
rsbs_RF,rsbs_SVR,0.009765625,-0.10923554467111826,1.0,0.04557291666666667,False,True
random_CART,ddbs_SVR,0.009765625,-0.23863295333311166,1.0,0.04557291666666667,False,True
random_CART,ddbs_KRR,0.009765625,-0.28573258847254995,1.0,0.04557291666666667,False,True
twise_MR,sbs_kNN,0.009765625,-0.19429339629546805,1.0,0.04557291666666667,False,True
random_RF,ddbs_SVR,0.009765625,-0.2128059364119213,1.0,0.04557291666666667,False,True
random_RF,twise_kNN,0.009765625,-0.09687155813395552,1.0,0.04557291666666667,False,True
random_RF,rsbs_SVR,0.009765625,-0.10472527111800002,1.0,0.04557291666666667,False,True
random_MR,twise_SVR,0.009765625,-0.07789739440348775,1.0,0.04557291666666667,False,True
sbs_kNN,ddbs_RF,0.009765625,0.1675985853799804,1.0,0.04557291666666667,False,True
random_MR,ddbs_KRR,0.009765625,-0.24578065909028707,1.0,0.04557291666666667,False,True
twise_kNN,rsbs_RF,0.009765625,0.09944277851300196,1.0,0.04557291666666667,False,True
random_CART,rsbs_kNN,0.009765625,-0.3990056008677887,1.0,0.04557291666666667,False,True
random_CART,ddbs_RF,0.009765625,-0.1838100868035727,1.0,0.04557291666666667,False,True
random_CART,rsbs_SVR,0.009765625,-0.25440970706660593,1.0,0.04557291666666667,False,True
ddbs_CART,rsbs_kNN,0.009765625,-0.2730273443477571,1.0,0.04557291666666667,False,True
random_CART,random_KRR,0.009765625,-0.2597728758040039,1.0,0.04557291666666667,False,True
ddbs_KRR,rsbs_MR,0.009765625,0.02646356608796441,1.0,0.04557291666666667,False,True
twise_SVR,rsbs_kNN,0.009765625,-0.21561223955828096,1.0,0.04557291666666667,False,True
twise_RF,sbs_KRR,0.009765625,-0.21677260001837464,1.0,0.04557291666666667,False,True
ddbs_SVR,rsbs_CART,0.009765625,0.08967143461264108,1.0,0.04557291666666667,False,True
twise_kNN,rsbs_CART,0.009765625,0.17137368189303942,1.0,0.04557291666666667,False,True
random_CART,dbs_KRR,0.009765625,-0.3279384353334546,1.0,0.04557291666666667,False,True
random_CART,twise_kNN,0.009765625,-0.24514686595695478,1.0,0.04557291666666667,False,True
rsbs_CART,rsbs_kNN,0.009765625,-0.3236302214506008,1.0,0.04557291666666667,False,True
rsbs_kNN,rsbs_RF,0.009765625,0.253831438472301,1.0,0.04557291666666667,False,True
rsbs_kNN,rsbs_SVR,0.009765625,0.08986719711083077,1.0,0.04557291666666667,False,True
random_CART,twise_RF,0.009765625,-0.11215874703979781,1.0,0.04557291666666667,False,True
dbs_KRR,dbs_SVR,0.013671875,-0.10281408504573494,1.0,0.05940193965517242,False,False
random_SVR,rsbs_RF,0.013671875,0.06596135840636802,1.0,0.05940193965517242,False,False
twise_CART,dbs_SVR,0.013671875,-0.2160305456889134,1.0,0.05940193965517242,False,False
random_RF,random_SVR,0.013671875,-0.07855029211141588,1.0,0.05940193965517242,False,False
twise_MR,sbs_SVR,0.013671875,-0.16382290736551589,1.0,0.05940193965517242,False,False
twise_RF,ddbs_SVR,0.013671875,-0.12462707795577795,1.0,0.05940193965517242,False,False
