system,random_CART,random_kNN,random_KRR,random_MR,random_RF,random_SVR,dbs_CART,dbs_kNN,dbs_KRR,dbs_MR,dbs_RF,dbs_SVR,ddbs_CART,ddbs_kNN,ddbs_KRR,ddbs_MR,ddbs_RF,ddbs_SVR,rsbs_CART,rsbs_kNN,rsbs_KRR,rsbs_MR,rsbs_RF,rsbs_SVR
7z,7.920243686562149e-06,0.001764115392068091,4.893917827155847e-05,2.1330804734147803e-05,2.1560285749085003e-06,0.0002535186623881627,7.477942878553719e-06,0.0013982877478589052,0.00014012435638712634,0.001142710054560885,3.082962740944167e-05,0.0006947859124182554,0.0005002083535713334,8.006368346552343e-05,0.00044902840544030207,1.5068035928938749e-05,8.388971908700223e-05,0.0010534105148014535,0.000944423045330959,0.0020951596599673174,0.0019527122798159882,0.0009762623909433714,0.0005094806128138808,0.0016398181585838831
BerkeleyDBC,0.0350793839846871,0.8763957268015969,0.16183012827710114,0.03686572020875252,0.07636930582608845,0.24631392875236338,0.07987952476898534,0.23772587422815114,0.3125259618758358,0.1516371752273791,0.13675631938025884,0.27345412009604547,1.0159223135441964,0.4154306957853227,0.40858428996634116,0.8250790116418804,0.7993543069669298,0.475553941313817,0.1967936994426388,0.5280668493876808,0.3426186938254768,0.5509740206812702,0.2574170028110365,0.6045521910804937
Dune,7.039675355288374e-05,5.5999420849659216e-05,5.4841149766178414e-05,6.012411942604263e-05,4.265430211091627e-05,6.9165321649071934e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0004255240379726434,2.7401307957050476e-06,8.023068177146226e-06,1.4171308210894857e-06,0.00021636931172460587,9.389542254594337e-06,0.00013694138151489806,2.4920068964302383e-05,6.903132873585525e-05,0.00011029144987616934,0.00010359299418302396,6.475869396165956e-05
Hippacc,6.341243963582641e-06,2.461834002487953e-05,2.174466614560549e-06,3.9195550849003035e-06,3.022390927521964e-06,2.6554662456104927e-06,0.00019132524576459574,0.0002431224153351837,4.736754969651471e-05,3.775963003152427e-05,0.00011429047240607104,5.021242377127296e-05,1.7182827667439077e-05,2.8975746381785393e-05,2.206854284891325e-06,1.942362667977986e-06,6.740574079685975e-06,2.210641183371377e-06,2.4845980531815092e-05,3.0506890481303823e-05,1.5411022773756973e-05,1.1993405878067001e-05,1.162723412062283e-05,2.718742109198692e-05
Irzip,0.0029594577143372924,0.13110336145973966,0.19610219042296598,0.008872152491117632,0.0019257752868387544,0.0670212109766515,0.02179199213246823,0.06854140223316184,0.17845627790077437,0.003003498308112231,0.005524476318389847,0.035863505546797764,0.035121815674601146,0.030156703296457484,0.03979548902457126,0.03017853153091129,0.01922164235191147,0.024620952410460046,0.064302960495677,0.06824967687015203,1.907399389691995,1.0878596355596262,0.021621316527752944,0.3613452868273874
JavaGC,0.0001030149676923697,0.0039865529173284476,0.0013661445182113915,0.00047784260442157114,8.872603268051883e-05,0.0015364338628145614,0.06245810822145465,0.00437046199970236,0.00873369067131131,0.01478099035477019,0.032424840949075884,0.013888879586048532,0.0008245563917319095,0.003688161720289556,0.004107394407323638,0.002560291471711359,0.0004887483275961861,0.005481167053020416,0.0061300054853918136,0.005031329746753985,0.00637007311145219,0.008099328130922111,0.006151293727338629,0.0036414840443671566
LLVM,8.823703840917904e-05,1.7643764300535208e-05,0.0001001571706852067,8.29553309868295e-05,3.45078605157433e-05,1.5716345681482035e-05,9.005299086076899e-05,0.00013543246276015523,0.00031283092240190144,0.0002314537162129712,6.286365122849375e-05,3.272021753473555e-05,0.00013276952512664145,4.795284379458473e-05,0.00030899807035918766,0.0002296581239947989,5.8173993667430964e-05,1.2552813204987403e-05,7.145465884847122e-05,2.1895654272976268e-05,0.0001332074918043927,9.808317494870685e-05,3.486686208725831e-05,1.938574777599838e-05
Polly,0.00014075167689318595,0.0001328452153087728,0.00014992392263229144,8.596632940099186e-05,0.00012415322987088657,0.0001981090975422194,0.00013866547387932467,7.695247408510933e-06,1.4094889796480611e-05,5.672345518967086e-05,0.000332613228327245,1.3450599617090236e-05,1.4493330591856702e-05,9.528493679993396e-06,3.7304845806127245e-05,2.0932459744197914e-05,2.9395732431167144e-05,2.3561611294570525e-05,0.0002666506240055127,0.00015246066600117949,0.00015753664930709497,0.00010278681062755968,0.00016656704099454926,0.0002777090925907384
VP9,7.171958883926628e-05,0.15968231404659447,0.010129314893872506,0.004468007436202305,0.00226165599402268,0.026749652178587418,0.7320032975191516,0.60729584882693,0.47493235236888187,0.3865783077176515,0.06042524382708067,0.3009782800961896,0.0027355236991845095,0.030425050213137836,0.012407869954892516,0.005160361729046627,0.001404665855684279,0.04374293369075328,0.005788763108534964,0.03491292330052948,0.009266367325284198,0.00276274061989778,0.003475367487900847,0.025227687187283312
x264,0.0002888758080495208,0.0009818149759798804,0.00020982770513542498,0.0002674633608952607,0.00018965480292963062,0.0004946027192625164,0.00054413198913984,0.0007855176768049922,0.0008057714049798702,0.0004377454685118263,0.00025711281927763243,0.0009451716577791759,9.450037154424431e-05,0.00010576815857538502,0.00016598215245217362,7.408820794982342e-05,4.131605201765098e-05,0.00021388107133860608,0.0005501235891526212,0.0020911559105022096,0.000559120581473896,0.0003889329542666763,0.0003674062804250543,0.0008515839625900205
