mean_ranks,std_rank
5.4,4.575295983139597
7.7,6.864562784491247
7.9,4.508017549014447
9.0,7.2264944628929335
9.3,7.36432843736164
9.9,4.931756504757937
10.7,5.907622195096772
10.9,6.100091074001363
11.0,5.656854249492381
11.5,5.522680508593631
12.1,7.950541560869367
12.5,5.126185499743233
12.55,8.361452558550392
13.45,8.655280982665374
13.65,7.438824578595137
13.95,7.733225573961862
15.05,8.084450094677642
15.2,4.685675570881488
15.6,5.399588461684423
15.65,7.513136643388181
16.3,6.272515001532037
16.6,5.561774297230456
16.6,6.239658110292049
17.5,4.428443418528808
