system,random_CART,random_kNN,random_KRR,random_MR,random_RF,random_SVR,twise_CART,twise_kNN,twise_KRR,twise_MR,twise_RF,twise_SVR,sbs_CART,sbs_kNN,sbs_KRR,sbs_MR,sbs_RF,sbs_SVR,dbs_CART,dbs_kNN,dbs_KRR,dbs_MR,dbs_RF,dbs_SVR,ddbs_CART,ddbs_kNN,ddbs_KRR,ddbs_MR,ddbs_RF,ddbs_SVR,rsbs_CART,rsbs_kNN,rsbs_KRR,rsbs_MR,rsbs_RF,rsbs_SVR
7z,0.0749187813074774,0.6035309833803908,0.14632824463336014,0.10919941839893883,0.06807780785864996,0.3520303703566689,0.0785472842956997,0.5444820012043547,0.1547591924533831,0.1141920611238924,0.0722358601452725,0.3778084815021449,0.1161244082689922,0.5004974568775777,0.1722697468117261,0.1507268378263362,0.1115483487332995,0.3548649761176453,0.3182731655275808,0.6745396819709433,0.7535063131407275,0.7217791046909419,0.3093665300498068,0.533650746309047,0.2329773159902823,0.47764211020255604,0.5223874422741749,0.25302182842529564,0.2397195590074429,0.6407726620789334,0.12121612066574959,0.8162270033571886,0.25162810687074805,0.22768133796322604,0.1300623216754705,0.41905617490929387
BerkeleyDBC,0.09645915375721298,3.453032329853629,2.387572307545981,0.1711471798007288,0.2956022227244486,2.294072054785424,0.0660646330562724,2.583657823364162,2.332014199245203,0.1063746984167783,0.122028228715279,2.0559888236274104,0.2836734666947917,2.3110530831378298,1.7398062515348018,0.2645678222020983,0.901539455950312,2.029707262409283,0.4996715097989746,4.929439928235497,4.122798243143234,1.0225388731485336,0.7861011749014706,4.30149447347913,0.6160463003432425,5.635047103508117,3.869424450912918,1.1619909342674517,1.5863695693370332,4.295470325028905,0.2763888799389983,2.893395493591888,2.3116547785981703,0.7666866757115366,0.6070043592469846,2.260766210964215
Dune,0.09319914417353578,0.13225080697269104,0.10404378896760294,0.10404679949597809,0.08944664395922003,0.09147996105023867,0.087012382887528,0.1266164952496525,0.0900192840617341,0.0977874090487075,0.0881094652923795,0.0883690921432217,0.1267792438271565,0.1563702264340317,0.1603400679007149,0.1377098336759118,0.1936364075032384,0.1598167440118075,0.185741021730736,0.2549552009801473,0.24624092997589467,0.2023665371219251,0.1850772409224577,0.2297259425649213,0.1512593926446531,0.16456107686936014,0.134177286167834,0.11595442965315851,0.13788775448346768,0.1167462960636968,0.1482011126453181,0.14949625305318465,0.12205327508273968,0.13638511535632383,0.14183712914440838,0.1256747754625705
Hippacc,0.038572421584255785,0.21871365832074577,0.05775782919165701,0.08008374441550735,0.04106116782993548,0.07596969384114206,0.0932955691216332,0.2061178052817112,0.0901844059313906,0.0985842346928591,0.0937081264936278,0.1024190923174121,0.0690768422935333,0.2109229286481735,0.0656352574322321,0.1022688316141245,0.0742212827014142,0.0973124193158639,0.10192908321271123,0.22282212123502262,0.0910295150450753,0.12248337651688736,0.09809404619183003,0.113828491403547,0.05667378990818627,0.21871507248636354,0.06842153171090164,0.09545614562794472,0.05494639453477714,0.08907674553735515,0.07548744354347005,0.19296275247002245,0.06768260451849327,0.10242053846209272,0.0677919117534099,0.08874768656585012
Irzip,0.08410492722625279,1.6398242214568244,1.8005736290120204,0.2629414644965394,0.15087077146581196,1.4257771161026604,0.0210836443341483,1.462144342177389,1.2555227058730674,0.1742909859120593,0.0714456816549097,1.297847400634218,0.2133475290092292,0.9096141344319592,0.7564636199837708,0.3096734805200259,0.2241617495486043,0.7663225365505311,0.19757406883547776,1.1748456984793192,1.3281228707285442,0.3293648191633899,0.3831851341775313,1.2484375485045411,0.600611695694126,1.1349816849472303,1.168660208726974,0.46256059457146803,0.6398918608959674,1.0675821902087963,0.7392855388182137,1.930525060390497,3.522725207702085,1.5476329735299423,0.8137367589431439,2.2525599681993564
JavaGC,0.09623500851233598,0.7303095484262306,0.5536783814758477,0.21895759576110327,0.09260812973721318,0.47217885589221903,0.1182301258500561,0.5637606482693944,0.5409364476291088,0.2504846064687708,0.1156287363979571,0.4374461176383198,0.2325691149302993,0.6799821375950079,0.7760300687156884,0.2349984501691759,0.1920513328406306,0.6345398862459734,0.42351407231802396,1.163511974338594,1.1665381609184307,0.8029948431536679,0.47354219538816444,1.3206631957327035,0.14944860214750333,1.000049251635366,0.8640864756612784,0.265727007262149,0.14558190517409994,0.9463463933897404,0.1607482388900619,0.8216892804324866,0.6254779003972473,0.34914421305509924,0.1831644727093808,0.5900120816643238
LLVM,0.04874182032582316,0.05033118046183376,0.03757620090266235,0.04038930965274495,0.04315527399643312,0.04594589255548412,0.0433094845216448,0.0481621900053217,0.0285544767881171,0.0308224939903949,0.0374276597656304,0.040768047302341,0.0714007903403082,0.0526142982275694,0.0426660300722479,0.0476950369228989,0.047509788525062,0.0528058241499816,0.07164146086865085,0.05996628045732792,0.0549940815969435,0.05552588670609083,0.049634702273753516,0.04791778418487404,0.06385157834599094,0.050889033371825286,0.060824715444467714,0.06618658321827507,0.04514829965079097,0.04452710085367971,0.048208560992027326,0.05120336405578001,0.03721074537426952,0.04047740416589695,0.04244899538853525,0.046749992273829886
Polly,0.03837690143841174,0.20371590392732655,0.15101922924253464,0.13127365422477977,0.04175594003322125,0.16093976275942976,0.0301090486692104,0.2507133036992569,0.1336161490517812,0.1097907886340196,0.0403690331459222,0.1438004170885927,0.048163870516339,0.2091268365506259,0.1511892002931158,0.1447815107165279,0.0820944223617067,0.170632434096127,0.3042494501799689,0.23184103532302444,0.21588964262589663,0.23815643670747558,0.28840996583819634,0.22953118965787261,0.039545387253749856,0.21318689352039788,0.13749721899118328,0.12376478985845253,0.04976777752701824,0.14787926777279065,0.04038791667206995,0.18837781629909828,0.14252137522987984,0.13062365586950303,0.04181289069945593,0.15920344473636563
VP9,0.11318455331283164,3.0195680244793293,1.0837848218137782,0.4751851378306356,0.1496207327577123,1.2467544567297941,0.1308005837948161,2.2678738232225,0.9723151471030484,0.4644124154599137,0.1751300975615628,1.132517220106689,0.2242534173957216,1.9974344373013857,1.117906920389621,0.3198620068613361,0.3849447715704636,1.3061111943110186,1.5179685832856733,2.7003232882525285,2.923588795276489,2.357890607144918,1.5745886910622549,4.549149944227375,0.1955565197868672,1.9886438042225691,1.07053982769668,0.5294177118053974,0.2143040527126264,1.7273128333073924,0.17760491790076524,1.2566866376996897,0.7292740676255619,0.3584490191773763,0.2210279162721477,0.8843901563188319
x264,0.07917876690757862,0.2162088126789179,0.0860319769990901,0.07656830112830136,0.07610406844695071,0.15555494261750766,0.0905829292752494,0.1966875223715798,0.0672942228034348,0.0808150664193381,0.0691860425063502,0.1053563847832509,0.1824836903849793,0.1786288432091994,0.0827713671388275,0.1251807968520648,0.0762715371832492,0.1636139239022329,0.08337680127569796,0.2381443111402699,0.10454809721316695,0.0721088208468747,0.07835619532387701,0.1716006182408788,0.07893619294271549,0.19569520746609725,0.09210603763743638,0.07557644975970146,0.07902696666532703,0.15639009683155927,0.07724267576293163,0.24946615374066602,0.08900672464889597,0.07712121805527816,0.07657036563608793,0.16809621351675788
