metric,coverage_t,sample_size_source_t,system,coverage,log10_ratio,setting
ALS,2,1,WGet,0.3902061855670103,-0.8062,"(2,1)"
ALS,2,1,clasp,0.5017635327635327,-6.6934,"(2,1)"
ALS,2,1,lrzip,0.5181016192071468,-2.7831,"(2,1)"
ALS,2,1,x264,0.34475903614457826,-1.454,"(2,1)"
ALS,2,1,z3,0.4411847389558233,-0.9031,"(2,1)"
ALS,2,2,7z,0.8175505965319035,-8.1077,"(2,2)"
ALS,2,2,AJStats,0.6157096354166667,-0.9031,"(2,2)"
ALS,2,2,BerkeleyDBC,0.6392540322580644,-1.7093,"(2,2)"
ALS,2,2,Curl,0.5751743375174336,-0.727,"(2,2)"
ALS,2,2,Dune,0.5954047217537942,-5.9694,"(2,2)"
ALS,2,2,HSMGP,0.5990174934100168,-6.0944,"(2,2)"
ALS,2,2,HSQLDB,0.578394415357766,-2.181,"(2,2)"
ALS,2,2,Hipacc,0.859630467571644,-11.8247,"(2,2)"
ALS,2,2,HyTeG,0.37439999999999996,-0.6021,"(2,2)"
ALS,2,2,JavaGC,0.605050150451354,-6.1524,"(2,2)"
ALS,2,2,LLVM,0.7184833333333333,0.0,"(2,2)"
ALS,2,2,PKJab,0.5019444444444444,-1.153,"(2,2)"
ALS,2,2,Polly,0.5952983606557377,-6.962,"(2,2)"
ALS,2,2,SQLite,0.703309662147622,-4.8445,"(2,2)"
ALS,2,2,TriMesh,0.7043700708795048,-14.79,"(2,2)"
ALS,2,2,VP9,0.6224180396072557,-7.0078,"(2,2)"
ALS,2,2,WGet,0.590635738831615,-0.8062,"(2,2)"
ALS,2,2,clasp,0.5752877492877493,-6.6934,"(2,2)"
ALS,2,2,lrzip,0.7201005025125627,-2.7831,"(2,2)"
ALS,2,2,x264,0.5256325301204818,-1.454,"(2,2)"
ALS,2,2,z3,0.6253815261044177,-0.9031,"(2,2)"
ALS,2,3,7z,0.8637355294723791,-8.1077,"(2,3)"
ALS,2,3,AJStats,0.72798828125,-0.9031,"(2,3)"
ALS,2,3,BerkeleyDBC,0.7295228494623656,-1.7093,"(2,3)"
ALS,2,3,Curl,0.6610041841004183,-0.727,"(2,3)"
ALS,2,3,Dune,0.7016245081506464,-5.9694,"(2,3)"
ALS,2,3,HSMGP,0.715712916367122,-6.0944,"(2,3)"
ALS,2,3,HSQLDB,0.6634991273996509,-2.181,"(2,3)"
ALS,2,3,Hipacc,0.8985946455505278,-11.8247,"(2,3)"
ALS,2,3,HyTeG,0.3797333333333333,-0.6021,"(2,3)"
ALS,2,3,JavaGC,0.6800768973587429,-6.1524,"(2,3)"
ALS,2,3,LLVM,0.8260333333333333,0.0,"(2,3)"
ALS,2,3,PKJab,0.5638541666666667,-1.153,"(2,3)"
ALS,2,3,Polly,0.6996087431693989,-6.962,"(2,3)"
ALS,2,3,VP9,0.7045332001997004,-7.0078,"(2,3)"
ALS,2,3,WGet,0.7053006872852233,-0.8062,"(2,3)"
ALS,2,3,clasp,0.6261595441595441,-6.6934,"(2,3)"
ALS,2,3,lrzip,0.7652819653824678,-2.7831,"(2,3)"
ALS,2,3,x264,0.5685441767068273,-1.454,"(2,3)"
ALS,2,3,z3,0.6921887550200803,-0.9031,"(2,3)"
ALS,3,1,7z,0.4388686845374689,-8.1077,"(3,1)"
ALS,3,1,AJStats,0.18643279569892468,-0.9031,"(3,1)"
ALS,3,1,BerkeleyDBC,0.30033303860890065,-1.7093,"(3,1)"
ALS,3,1,Curl,0.2010557053009883,-0.727,"(3,1)"
ALS,3,1,Dune,0.28427445609020163,-5.9694,"(3,1)"
ALS,3,1,HSMGP,0.2817267308998826,-6.0944,"(3,1)"
ALS,3,1,HSQLDB,0.21072937293729369,-2.181,"(3,1)"
ALS,3,1,Hipacc,0.40551663634608204,-11.8247,"(3,1)"
ALS,3,1,HyTeG,0.1298333333333333,-0.6021,"(3,1)"
ALS,3,1,JavaGC,0.27982380037058197,-6.1524,"(3,1)"
ALS,3,1,LLVM,0.19441520467836254,0.0,"(3,1)"
ALS,3,1,PKJab,0.16037037037037033,-1.153,"(3,1)"
ALS,3,1,Polly,0.24066073714181224,-6.962,"(3,1)"
ALS,3,1,SQLite,0.3134963727469897,-4.8445,"(3,1)"
ALS,3,1,TriMesh,0.3609714963441374,-14.79,"(3,1)"
ALS,3,1,VP9,0.2620868598786013,-7.0078,"(3,1)"
ALS,3,1,WGet,0.21010803440318854,-0.8062,"(3,1)"
ALS,3,1,clasp,0.348322026232474,-6.6934,"(3,1)"
ALS,3,1,lrzip,0.36001706384230653,-2.7831,"(3,1)"
ALS,3,1,x264,0.18069128787878783,-1.454,"(3,1)"
ALS,3,1,z3,0.2512402159244264,-0.9031,"(3,1)"
ALS,3,2,7z,0.6996195771464822,-8.1077,"(3,2)"
ALS,3,2,AJStats,0.41772782258064517,-0.9031,"(3,2)"
ALS,3,2,BerkeleyDBC,0.4762577365163572,-1.7093,"(3,2)"
ALS,3,2,Curl,0.36526055705300986,-0.727,"(3,2)"
ALS,3,2,Dune,0.4438691043353977,-5.9694,"(3,2)"
ALS,3,2,HSMGP,0.4453849360755975,-6.0944,"(3,2)"
ALS,3,2,HSQLDB,0.3799119911991199,-2.181,"(3,2)"
ALS,3,2,Hipacc,0.7576018225673725,-11.8247,"(3,2)"
ALS,3,2,HyTeG,0.20166666666666663,-0.6021,"(3,2)"
ALS,3,2,JavaGC,0.4341487869499714,-6.1524,"(3,2)"
ALS,3,2,LLVM,0.4944883040935672,0.0,"(3,2)"
ALS,3,2,PKJab,0.29951267056530206,-1.153,"(3,2)"
ALS,3,2,Polly,0.42294308178564893,-6.962,"(3,2)"
ALS,3,2,SQLite,0.551724503278239,-4.8445,"(3,2)"
ALS,3,2,TriMesh,0.5672188139072823,-14.79,"(3,2)"
ALS,3,2,VP9,0.45379661451654263,-7.0078,"(3,2)"
ALS,3,2,WGet,0.3824764002517306,-0.8062,"(3,2)"
ALS,3,2,clasp,0.4193146820012491,-6.6934,"(3,2)"
ALS,3,2,lrzip,0.5752691968225948,-2.7831,"(3,2)"
ALS,3,2,x264,0.34243235930735927,-1.454,"(3,2)"
ALS,3,2,z3,0.4269527665317138,-0.9031,"(3,2)"
ALS,3,3,7z,0.7884139699044282,-8.1077,"(3,3)"
ALS,3,3,AJStats,0.5391418010752688,-0.9031,"(3,3)"
ALS,3,3,BerkeleyDBC,0.5862194223401119,-1.7093,"(3,3)"
ALS,3,3,Curl,0.4899573225516622,-0.727,"(3,3)"
ALS,3,3,Dune,0.5731457440050818,-5.9694,"(3,3)"
ALS,3,3,HSMGP,0.5810371502686678,-6.0944,"(3,3)"
ALS,3,3,HSQLDB,0.48971947194719473,-2.181,"(3,3)"
ALS,3,3,Hipacc,0.8402747330239694,-11.8247,"(3,3)"
ALS,3,3,HyTeG,0.20799999999999993,-0.6021,"(3,3)"
ALS,3,3,JavaGC,0.5234071899838952,-6.1524,"(3,3)"
ALS,3,3,LLVM,0.6449152046783626,0.0,"(3,3)"
ALS,3,3,PKJab,0.3719005847953216,-1.153,"(3,3)"
ALS,3,3,Polly,0.5517289658595198,-6.962,"(3,3)"
ALS,3,3,VP9,0.5622564760194921,-7.0078,"(3,3)"
ALS,3,3,WGet,0.5399937067337949,-0.8062,"(3,3)"
ALS,3,3,clasp,0.4745641920268786,-6.6934,"(3,3)"
ALS,3,3,lrzip,0.6382147690497205,-2.7831,"(3,3)"
ALS,3,3,x264,0.40090503246753245,-1.454,"(3,3)"
ALS,3,3,z3,0.5419554655870445,-0.9031,"(3,3)"
