metric,coverage_t,sample_size_source_t,kw_statistic,kw_pvalue,kw_significant,epsilon_squared,effect_strength,median_random,median_solver,median_distance,mean_random,mean_solver,mean_distance,best_strategy_by_median,worst_strategy_by_median,median_gap_best_vs_worst,dunn_random_solver,dunn_random_distance,dunn_solver_distance,pairwise_summary
MD_MF-DF,1,1,2765.4552857116246,0.0,True,0.400500766045163,EffectStrength.LARGER,0.7777777777777777,0.5769230769230768,0.6818181818181817,0.7745163065268502,0.5929184379689448,0.682199297743962,random,solver,0.20085470085470092,0.0,2.6028225076308053e-135,8.398571349772578e-170,random > solver; random > distance; distance > solver
MD_MF-DF,1,2,997.7909250057194,2.1500748959280502e-217,True,0.14431752536314774,EffectStrength.LARGER,0.8653846153846154,0.7575757575757575,0.8214285714285714,0.8694436749936088,0.7814867691632196,0.8207971749614265,random,solver,0.10780885780885796,1.4837583347067927e-217,7.168887178534781e-69,3.664542538180432e-44,random > solver; random > distance; distance > solver
MD_MF-DF,1,3,75.1386352794252,4.828949461373907e-17,True,0.011609307187210349,EffectStrength.SMALL,0.859375,0.8571428571428571,0.8548387096774193,0.8635030156178399,0.8399255005290341,0.8534290754421625,random,distance,0.004536290322580738,1.3236416933271254e-17,1.9374907852047036e-05,2.1996825376589626e-05,random > solver; random > distance; solver > distance
MD_MF-DF,2,1,2088.6180182437306,0.0,True,0.3024084084411204,EffectStrength.LARGER,0.5356564019448946,0.3235294117647059,0.4249944604475958,0.5335657469088222,0.35227227110614007,0.42506685338631583,random,solver,0.2121269901801887,0.0,1.0243976840509408e-130,8.68311259956034e-101,random > solver; random > distance; distance > solver
MD_MF-DF,2,2,1396.3660822518823,6.066774889892369e-304,True,0.2020820409060699,EffectStrength.LARGER,0.7145077720207254,0.5391705069124423,0.5999999999999999,0.7285021475560765,0.5675820735337668,0.6108580885384186,random,solver,0.17533726510828307,2.30418508322533e-292,7.7425989676040665e-137,2.381302586347098e-31,random > solver; random > distance; distance > solver
MD_MF-DF,2,3,325.5063549588014,2.075836330196239e-71,True,0.05135021507282562,EffectStrength.SMALL,0.7333333333333332,0.6833333333333333,0.6916666666666667,0.7404775284022653,0.6744706797364198,0.689105568322102,random,solver,0.04999999999999982,3.1958554396897334e-61,4.381055560564239e-47,0.03441104999452819,random > solver; random > distance; distance > solver
MD_MF-DF,3,1,1365.6475540422175,2.8405440426001162e-297,True,0.19763008029597356,EffectStrength.LARGER,0.342932016024579,0.1779112754158964,0.2450233987567227,0.35032070281483174,0.21123829071934228,0.25588161921069125,random,solver,0.1650207406086826,5.215739317278944e-296,1.8188876573899863e-100,3.975070219446374e-54,random > solver; random > distance; distance > solver
MD_MF-DF,3,2,1326.7570271990637,7.913564210052124e-289,True,0.19199377205783533,EffectStrength.LARGER,0.5591774228833953,0.3631316998468606,0.400373505226061,0.5771966595268531,0.3988143969787481,0.4269689924363286,random,solver,0.19604572303653472,2.6503002688815536e-265,3.7054801797706575e-156,2.8298877552052283e-16,random > solver; random > distance; distance > solver
MD_MF-DF,3,3,767.9352492586037,1.75784020759548e-167,True,0.12689450782945721,EffectStrength.MEDIUM,0.6067873550645372,0.4972273567467652,0.4885556432517758,0.6230528098020649,0.5049273946466829,0.5054935266103646,random,distance,0.11823171181276138,5.142092743270073e-128,5.557830336564336e-123,0.7666525417028318,random > solver; random > distance; solver ~ distance
PCI,1,1,3025.029799133343,0.0,True,0.43812026074396276,EffectStrength.LARGER,0.7833333333333333,0.5915492957746478,0.68,0.7826259055315646,0.5921544280840074,0.6834538866453922,random,solver,0.19178403755868556,0.0,1.3073573933248706e-156,2.9466961465512453e-176,random > solver; random > distance; distance > solver
PCI,1,2,1201.7103268994285,1.1269848832830099e-261,True,0.1738710618694824,EffectStrength.LARGER,0.8793103448275861,0.76,0.8333333333333333,0.8804176422143727,0.784478738941024,0.8282335479000802,random,solver,0.11931034482758607,2.269657643307645e-261,1.154877450159214e-84,4.2992994824781035e-51,random > solver; random > distance; distance > solver
PCI,1,3,81.49502023620643,2.011783326414552e-18,True,0.012618257180350227,EffectStrength.SMALL,0.8732394366197181,0.8666666666666667,0.8666666666666667,0.8754897564991649,0.8513045650043152,0.8652203672845473,random,solver,0.006572769953051449,5.284148570457196e-19,9.565284793674189e-06,9.565284793674189e-06,random > solver; random > distance; solver ~ distance
PCI,2,1,2357.955403039243,0.0,True,0.34144281203467286,EffectStrength.LARGER,0.5304347826086957,0.3373493975903614,0.4224189977862749,0.5418885663950286,0.35093637290613977,0.42515737260575653,random,solver,0.19308538501833428,0.0,6.466960277839434e-148,5.1066116845734914e-113,random > solver; random > distance; distance > solver
PCI,2,2,1627.2402005634049,0.0,True,0.23554205805266737,EffectStrength.LARGER,0.7347931873479318,0.5316686967113275,0.610022607385079,0.7426842486066682,0.5710232962269804,0.6180652605053236,random,solver,0.2031244906366042,0.0,1.261869379627317e-159,5.513681741250583e-36,random > solver; random > distance; distance > solver
PCI,2,3,482.97397492056524,1.3290272771557703e-105,True,0.0763450753842167,EffectStrength.MEDIUM,0.7557058326289094,0.6838733986435569,0.6956521739130433,0.7581143845054378,0.6889496945573894,0.7031808452498909,random,solver,0.07183243398535255,2.9119584516633353e-93,8.19695677255039e-65,0.0004686936108963185,random > solver; random > distance; distance > solver
PCI,3,1,1555.3034698422834,0.0,True,0.22511644490467875,EffectStrength.LARGER,0.3388711091179648,0.1834319526627218,0.2440618280935209,0.358332026365057,0.21005607450382782,0.25563422344070685,random,solver,0.155439156455243,0.0,1.0413348445158736e-114,5.669599383612663e-61,random > solver; random > distance; distance > solver
PCI,3,2,1566.6496915578216,0.0,True,0.2267608248634524,EffectStrength.LARGER,0.5691203600462221,0.3531444083412166,0.4025989823017819,0.5901627588945738,0.4014870665340339,0.43401801952419755,random,solver,0.21597595170500555,0.0,1.6021941617304516e-171,6.649029085664245e-25,random > solver; random > distance; distance > solver
PCI,3,3,1004.510046022732,7.471623819700617e-219,True,0.16608847680959776,EffectStrength.LARGER,0.6424546790788828,0.4938337036508551,0.5054062403459993,0.6419500532424439,0.5194286900312064,0.5205624879372723,random,solver,0.14862097542802766,1.1259299276139808e-169,1.7238401300216734e-157,0.42375630158891475,random > solver; random > distance; solver ~ distance
