system,strategy,sample_size_source_t,sample_size,coverage_t,run,metric,coverage,ratio,constraint_level,setting
7z,distance,1,10,1,1,MDA_MF-DF-ALS,0.6923076923076922,7.8e-09,Very Strong,"(1,1)"
7z,distance,1,10,1,1,MDP_MF-DF-PCI,0.6923076923076922,7.8e-09,Very Strong,"(1,1)"
7z,distance,1,10,1,1,MD_MF-DF,0.6923076923076922,7.8e-09,Very Strong,"(1,1)"
7z,distance,1,10,1,1,PCI,0.6867469879518072,7.8e-09,Very Strong,"(1,1)"
7z,distance,1,10,2,1,ALS,0.4719140083217753,7.8e-09,Very Strong,"(2,1)"
7z,distance,1,10,2,1,AP_ALS-PCI,0.4711805555555555,7.8e-09,Very Strong,"(2,1)"
7z,distance,1,10,2,1,Default,0.4516531503431066,7.8e-09,Very Strong,"(2,1)"
7z,distance,1,10,2,1,MDAP_MF-DF-ALS-PCI,0.4657875980042765,7.8e-09,Very Strong,"(2,1)"
7z,distance,1,10,2,1,MDA_MF-DF-ALS,0.4657875980042765,7.8e-09,Very Strong,"(2,1)"
7z,distance,1,10,2,1,MDP_MF-DF-PCI,0.4657875980042765,7.8e-09,Very Strong,"(2,1)"
7z,distance,1,10,2,1,MD_MF-DF,0.4657875980042765,7.8e-09,Very Strong,"(2,1)"
7z,distance,1,10,2,1,PCI,0.4555801454315523,7.8e-09,Very Strong,"(2,1)"
7z,distance,1,10,3,1,ALS,0.3175891268331594,7.8e-09,Very Strong,"(3,1)"
7z,distance,1,10,3,1,AP_ALS-PCI,0.3162428725535521,7.8e-09,Very Strong,"(3,1)"
7z,distance,1,10,3,1,Default,0.2915338980855418,7.8e-09,Very Strong,"(3,1)"
7z,distance,1,10,3,1,MDAP_MF-DF-ALS-PCI,0.3109230226667948,7.8e-09,Very Strong,"(3,1)"
7z,distance,1,10,3,1,MDA_MF-DF-ALS,0.3109230226667948,7.8e-09,Very Strong,"(3,1)"
7z,distance,1,10,3,1,MDP_MF-DF-PCI,0.3109230226667948,7.8e-09,Very Strong,"(3,1)"
7z,distance,1,10,3,1,MD_MF-DF,0.3109230226667948,7.8e-09,Very Strong,"(3,1)"
7z,distance,1,10,3,1,PCI,0.2993646896961031,7.8e-09,Very Strong,"(3,1)"
7z,distance,1,10,1,2,ALS,0.7088607594936708,7.8e-09,Very Strong,"(1,1)"
7z,distance,1,10,1,2,AP_ALS-PCI,0.7088607594936708,7.8e-09,Very Strong,"(1,1)"
7z,distance,1,10,1,2,Default,0.6987951807228916,7.8e-09,Very Strong,"(1,1)"
7z,distance,1,10,1,2,MDAP_MF-DF-ALS-PCI,0.7051282051282051,7.8e-09,Very Strong,"(1,1)"
