metric,n_settings,n_significant,mean_rho,min_rho,max_rho
ALS,9,4,-0.4838500368730728,-0.7755765267769325,-0.20201365144692296
AP_ALS-PCI,9,6,-0.5024267195843307,-0.7599870488517679,-0.20201365144692296
Default,9,6,-0.5397291188831412,-0.7684313493945655,-0.24098734625983412
MDAP_MF-DF-ALS-PCI,9,5,-0.49767476385865234,-0.7638844183330591,-0.1955180356447711
MDA_MF-DF-ALS,9,4,-0.49558790748360454,-0.7768756499373629,-0.1955180356447711
MDP_MF-DF-PCI,9,6,-0.5015906594902135,-0.7599870488517679,-0.24878208522241638
MD_MF-DF,9,5,-0.49732795688949605,-0.7703800341352111,-0.24878208522241638
PCI,9,6,-0.5527431209289706,-0.7619357335924136,-0.24098734625983412
