system,strategy,sample_size_source_t,sample_size,coverage_t,run,metric,coverage
7z,random,2,10,1,1,Default,0.83132530120481929
7z,random,2,10,1,1,MDAP_MF-DF-ALS-PCI,0.82051282051282048
7z,random,2,10,1,1,MDA_MF-DF-ALS,0.82051282051282048
7z,random,2,10,1,1,MDP_MF-DF-PCI,0.82051282051282048
7z,random,2,10,1,1,MD_MF-DF,0.82051282051282048
7z,random,2,10,1,1,PCI,0.83132530120481929
7z,random,2,10,2,1,ALS,0.63453536754507633
7z,random,2,10,2,1,AP_ALS-PCI,0.63402777777777775
7z,random,2,10,2,1,Default,0.65377417342482846
7z,random,2,10,2,1,MDAP_MF-DF-ALS-PCI,0.6293656450463293
7z,random,2,10,2,1,MDA_MF-DF-ALS,0.6293656450463293
7z,random,2,10,2,1,MDP_MF-DF-PCI,0.6293656450463293
7z,random,2,10,2,1,MD_MF-DF,0.6293656450463293
7z,random,2,10,2,1,PCI,0.65349351881125517
7z,random,2,10,3,1,ALS,0.47442780879916552
7z,random,2,10,3,1,AP_ALS-PCI,0.47324703344120822
7z,random,2,10,3,1,Default,0.50051812129219453
7z,random,2,10,3,1,MDAP_MF-DF-ALS-PCI,0.46745856176461159
7z,random,2,10,3,1,MDA_MF-DF-ALS,0.46745856176461159
7z,random,2,10,3,1,MDP_MF-DF-PCI,0.46745856176461159
7z,random,2,10,3,1,MD_MF-DF,0.46745856176461159
7z,random,2,10,3,1,PCI,0.501423041126563
7z,random,2,10,1,2,ALS,0.84810126582278478
7z,random,2,10,1,2,AP_ALS-PCI,0.84810126582278478
7z,random,2,10,1,2,Default,0.85542168674698793
7z,random,2,10,1,2,MDAP_MF-DF-ALS-PCI,0.84615384615384615
7z,random,2,10,1,2,MDA_MF-DF-ALS,0.84615384615384615
7z,random,2,10,1,2,MDP_MF-DF-PCI,0.84615384615384615
7z,random,2,10,1,2,MD_MF-DF,0.84615384615384615
7z,random,2,10,1,2,PCI,0.85542168674698793
7z,random,2,10,2,2,ALS,0.65360610263522889
7z,random,2,10,2,2,AP_ALS-PCI,0.65312499999999996
7z,random,2,10,2,2,Default,0.67342482844666252
7z,random,2,10,2,2,MDAP_MF-DF-ALS-PCI,0.64825374198146823
7z,random,2,10,2,2,MDA_MF-DF-ALS,0.64825374198146823
7z,random,2,10,2,2,MDP_MF-DF-PCI,0.64825374198146823
7z,random,2,10,2,2,MD_MF-DF,0.64825374198146823
7z,random,2,10,2,2,PCI,0.67277900727157758
7z,random,2,10,3,2,ALS,0.4850892802356262
7z,random,2,10,3,2,AP_ALS-PCI,0.48394205578671601
7z,random,2,10,3,2,Default,0.51252558223880207
7z,random,2,10,3,2,MDAP_MF-DF-ALS-PCI,0.47774999198486745
7z,random,2,10,3,2,MDA_MF-DF-ALS,0.47774999198486745
7z,random,2,10,3,2,MDP_MF-DF-PCI,0.47774999198486745
7z,random,2,10,3,2,MD_MF-DF,0.47774999198486745
7z,random,2,10,3,2,PCI,0.51300969826132703
7z,distance,2,10,1,1,ALS,0.69620253164556967
7z,distance,2,10,1,1,AP_ALS-PCI,0.69620253164556967
7z,distance,2,10,1,1,Default,0.68674698795180722
7z,distance,2,10,1,1,MDAP_MF-DF-ALS-PCI,0.69230769230769229
7z,distance,2,10,1,1,MDA_MF-DF-ALS,0.69230769230769229
7z,distance,2,10,1,1,MDP_MF-DF-PCI,0.69230769230769229
7z,distance,2,10,1,1,MD_MF-DF,0.69230769230769229
7z,distance,2,10,1,1,PCI,0.68674698795180722
7z,distance,2,10,2,1,ALS,0.47191400832177532
