strategy,coverage_t,sample_size_source_t,metric_1,metric_2,rho,p_value,n_systems
random,3,2,MDA_MF-DF-ALS,MD_MF-DF,0.9987012987012988,4.929526197593013e-26,21
random,3,2,MDA_MF-DF-ALS,AP_ALS-PCI,0.9506493506493506,4.165215670086261e-11,21
random,3,2,MDA_MF-DF-ALS,PCI,0.9025974025974025,2.1977492069540045e-08,21
random,3,2,MDA_MF-DF-ALS,ALS,0.9480519480519479,6.711681626030483e-11,21
random,3,2,MDA_MF-DF-ALS,Default,0.9129870129870129,7.846115695184515e-09,21
random,3,2,MDP_MF-DF-PCI,MD_MF-DF,1.0,0.0,21
random,3,2,MDP_MF-DF-PCI,AP_ALS-PCI,0.9519480519480519,3.249554352565228e-11,21
random,3,2,MDP_MF-DF-PCI,PCI,0.9064935064935065,1.5147200069265974e-08,21
random,3,2,MDP_MF-DF-PCI,ALS,0.9467532467532468,8.44287328049144e-11,21
random,3,2,MDP_MF-DF-PCI,Default,0.916883116883117,5.157044710321438e-09,21
random,3,2,MD_MF-DF,AP_ALS-PCI,0.9519480519480519,3.249554352565228e-11,21
random,3,2,MD_MF-DF,PCI,0.9064935064935065,1.5147200069265974e-08,21
random,3,2,MD_MF-DF,ALS,0.9467532467532468,8.44287328049144e-11,21
random,3,2,MD_MF-DF,Default,0.916883116883117,5.157044710321438e-09,21
random,3,2,AP_ALS-PCI,PCI,0.9571428571428571,1.1184948126046856e-11,21
random,3,2,AP_ALS-PCI,ALS,0.9883116883116884,5.5044143548490815e-17,21
random,3,2,AP_ALS-PCI,Default,0.9649350649350649,1.7137077303369096e-12,21
random,3,2,PCI,ALS,0.9376623376623376,3.6414652685977965e-10,21
random,3,2,PCI,Default,0.9948051948051948,2.546008354897638e-20,21
random,3,2,ALS,Default,0.9532467532467532,2.5176424662475392e-11,21
distance,1,2,MDAP_MF-DF-ALS-PCI,MDA_MF-DF-ALS,1.0,0.0,21
distance,1,2,MDAP_MF-DF-ALS-PCI,MDP_MF-DF-PCI,0.9857142857142858,3.666708335772008e-16,21
distance,1,2,MDAP_MF-DF-ALS-PCI,MD_MF-DF,0.9857142857142858,3.666708335772008e-16,21
distance,1,2,MDAP_MF-DF-ALS-PCI,AP_ALS-PCI,0.996103896103896,1.663852309360307e-21,21
distance,1,2,MDAP_MF-DF-ALS-PCI,PCI,0.9584415584415583,8.39236383483302e-12,21
distance,1,2,MDAP_MF-DF-ALS-PCI,ALS,0.996103896103896,1.663852309360307e-21,21
distance,1,2,MDAP_MF-DF-ALS-PCI,Default,0.9584415584415583,8.39236383483302e-12,21
distance,1,2,MDA_MF-DF-ALS,MDP_MF-DF-PCI,0.9857142857142858,3.666708335772008e-16,21
distance,1,2,MDA_MF-DF-ALS,MD_MF-DF,0.9857142857142858,3.666708335772008e-16,21
distance,1,2,MDA_MF-DF-ALS,AP_ALS-PCI,0.996103896103896,1.663852309360307e-21,21
distance,1,2,MDA_MF-DF-ALS,PCI,0.9584415584415583,8.39236383483302e-12,21
distance,1,2,MDA_MF-DF-ALS,ALS,0.996103896103896,1.663852309360307e-21,21
distance,1,2,MDA_MF-DF-ALS,Default,0.9584415584415583,8.39236383483302e-12,21
distance,1,2,MDP_MF-DF-PCI,MD_MF-DF,1.0,0.0,21
distance,1,2,MDP_MF-DF-PCI,AP_ALS-PCI,0.9831168831168832,1.7747675695140669e-15,21
distance,1,2,MDP_MF-DF-PCI,PCI,0.9792207792207792,1.2567854031499648e-14,21
distance,1,2,MDP_MF-DF-PCI,ALS,0.9831168831168832,1.7747675695140669e-15,21
distance,1,2,MDP_MF-DF-PCI,Default,0.9792207792207792,1.2567854031499648e-14,21
distance,1,2,MD_MF-DF,AP_ALS-PCI,0.9831168831168832,1.7747675695140669e-15,21
distance,1,2,MD_MF-DF,PCI,0.9792207792207792,1.2567854031499648e-14,21
distance,1,2,MD_MF-DF,ALS,0.9831168831168832,1.7747675695140669e-15,21
distance,1,2,MD_MF-DF,Default,0.9792207792207792,1.2567854031499648e-14,21
distance,1,2,AP_ALS-PCI,PCI,0.9545454545454546,1.9363254882559627e-11,21
distance,1,2,AP_ALS-PCI,ALS,1.0,0.0,21
distance,1,2,AP_ALS-PCI,Default,0.9545454545454546,1.9363254882559627e-11,21
distance,1,2,PCI,ALS,0.9545454545454546,1.9363254882559627e-11,21
distance,1,2,PCI,Default,1.0,0.0,21
distance,1,2,ALS,Default,0.9545454545454546,1.9363254882559627e-11,21
distance,2,2,MDAP_MF-DF-ALS-PCI,MDA_MF-DF-ALS,0.9987012987012988,4.929526197593013e-26,21
distance,2,2,MDAP_MF-DF-ALS-PCI,MDP_MF-DF-PCI,0.9779220779220777,2.2243213084278795e-14,21
distance,2,2,MDAP_MF-DF-ALS-PCI,MD_MF-DF,0.9779220779220777,2.2243213084278795e-14,21
distance,2,2,MDAP_MF-DF-ALS-PCI,AP_ALS-PCI,0.9818181818181818,3.57035224156752e-15,21
distance,2,2,MDAP_MF-DF-ALS-PCI,PCI,0.864935064935065,4.21308257021196e-07,21
distance,2,2,MDAP_MF-DF-ALS-PCI,ALS,0.9766233766233766,3.809183003638407e-14,21
distance,2,2,MDAP_MF-DF-ALS-PCI,Default,0.8584415584415584,6.409520654006245e-07,21
distance,2,2,MDA_MF-DF-ALS,MDP_MF-DF-PCI,0.9792207792207792,1.2567854031499648e-14,21
distance,2,2,MDA_MF-DF-ALS,MD_MF-DF,0.9792207792207792,1.2567854031499648e-14,21
distance,2,2,MDA_MF-DF-ALS,AP_ALS-PCI,0.9805194805194805,6.841881880876494e-15,21
distance,2,2,MDA_MF-DF-ALS,PCI,0.8688311688311688,3.2413520398464304e-07,21
distance,2,2,MDA_MF-DF-ALS,ALS,0.9779220779220777,2.2243213084278795e-14,21
distance,2,2,MDA_MF-DF-ALS,Default,0.8623376623376624,4.995617073702444e-07,21
distance,2,2,MDP_MF-DF-PCI,MD_MF-DF,1.0,0.0,21
distance,2,2,MDP_MF-DF-PCI,AP_ALS-PCI,0.9623376623376624,3.3446990261039674e-12,21
distance,2,2,MDP_MF-DF-PCI,PCI,0.8896103896103895,6.850166044242059e-08,21
distance,2,2,MDP_MF-DF-PCI,ALS,0.9597402597402598,6.238818356262163e-12,21
distance,2,2,MDP_MF-DF-PCI,Default,0.8870129870129868,8.454809415805433e-08,21
distance,2,2,MD_MF-DF,AP_ALS-PCI,0.9623376623376624,3.3446990261039674e-12,21
distance,2,2,MD_MF-DF,PCI,0.8896103896103895,6.850166044242059e-08,21
distance,2,2,MD_MF-DF,ALS,0.9597402597402598,6.238818356262163e-12,21
distance,2,2,MD_MF-DF,Default,0.8870129870129868,8.454809415805433e-08,21
distance,2,2,AP_ALS-PCI,PCI,0.8987012987012987,3.140551058161405e-08,21
distance,2,2,AP_ALS-PCI,ALS,0.996103896103896,1.663852309360307e-21,21
distance,2,2,AP_ALS-PCI,Default,0.8948051948051948,4.4250104531437685e-08,21
distance,2,2,PCI,ALS,0.9103896103896105,1.0268477969082566e-08,21
distance,2,2,PCI,Default,0.9948051948051948,2.546008354897638e-20,21
distance,2,2,ALS,Default,0.9090909090909091,1.1711620946369748e-08,21
distance,3,2,MDAP_MF-DF-ALS-PCI,MDA_MF-DF-ALS,0.9987012987012988,4.929526197593013e-26,21
distance,3,2,MDAP_MF-DF-ALS-PCI,MDP_MF-DF-PCI,0.9844155844155844,8.338447232167685e-16,21
distance,3,2,MDAP_MF-DF-ALS-PCI,MD_MF-DF,0.9844155844155844,8.338447232167685e-16,21
distance,3,2,MDAP_MF-DF-ALS-PCI,AP_ALS-PCI,0.9870129870129869,1.4901403238291642e-16,21
distance,3,2,MDAP_MF-DF-ALS-PCI,PCI,0.838961038961039,2.0139708710192865e-06,21
distance,3,2,MDAP_MF-DF-ALS-PCI,ALS,0.9766233766233766,3.809183003638407e-14,21
distance,3,2,MDAP_MF-DF-ALS-PCI,Default,0.7714285714285715,4.2283815561171536e-05,21
distance,3,2,MDA_MF-DF-ALS,MDP_MF-DF-PCI,0.9805194805194805,6.841881880876494e-15,21
distance,3,2,MDA_MF-DF-ALS,MD_MF-DF,0.9805194805194805,6.841881880876494e-15,21
distance,3,2,MDA_MF-DF-ALS,AP_ALS-PCI,0.9883116883116884,5.5044143548490815e-17,21
distance,3,2,MDA_MF-DF-ALS,PCI,0.8428571428571429,1.6217259154397358e-06,21
distance,3,2,MDA_MF-DF-ALS,ALS,0.9779220779220777,2.2243213084278795e-14,21
distance,3,2,MDA_MF-DF-ALS,Default,0.7792207792207791,3.143559712886159e-05,21
distance,3,2,MDP_MF-DF-PCI,MD_MF-DF,1.0,0.0,21
distance,3,2,MDP_MF-DF-PCI,AP_ALS-PCI,0.9870129870129869,1.4901403238291642e-16,21
distance,3,2,MDP_MF-DF-PCI,PCI,0.8636363636363636,4.5896792091601225e-07,21
distance,3,2,MDP_MF-DF-PCI,ALS,0.9766233766233766,3.809183003638407e-14,21
distance,3,2,MDP_MF-DF-PCI,Default,0.8012987012987013,1.2680036000946934e-05,21
distance,3,2,MD_MF-DF,AP_ALS-PCI,0.9870129870129869,1.4901403238291642e-16,21
distance,3,2,MD_MF-DF,PCI,0.8636363636363636,4.5896792091601225e-07,21
distance,3,2,MD_MF-DF,ALS,0.9766233766233766,3.809183003638407e-14,21
distance,3,2,MD_MF-DF,Default,0.8012987012987013,1.2680036000946934e-05,21
distance,3,2,AP_ALS-PCI,PCI,0.8948051948051948,4.4250104531437685e-08,21
distance,3,2,AP_ALS-PCI,ALS,0.9870129870129869,1.4901403238291642e-16,21
distance,3,2,AP_ALS-PCI,Default,0.8402597402597403,1.8748656738230947e-06,21
distance,3,2,PCI,ALS,0.9025974025974025,2.1977492069540045e-08,21
distance,3,2,PCI,Default,0.9792207792207792,1.2567854031499648e-14,21
distance,3,2,ALS,Default,0.8558441558441559,7.537531330491883e-07,21
solver,1,2,MDAP_MF-DF-ALS-PCI,MDA_MF-DF-ALS,1.0,0.0,21
solver,1,2,MDAP_MF-DF-ALS-PCI,MDP_MF-DF-PCI,0.9804689577884804,7.0109506115234395e-15,21
solver,1,2,MDAP_MF-DF-ALS-PCI,MD_MF-DF,0.9804689577884804,7.0109506115234395e-15,21
solver,1,2,MDAP_MF-DF-ALS-PCI,AP_ALS-PCI,0.9756260730639585,5.6430625008341863e-14,21
solver,1,2,MDAP_MF-DF-ALS-PCI,PCI,0.9119276352489899,8.764884032853138e-09,21
solver,1,2,MDAP_MF-DF-ALS-PCI,ALS,0.9756260730639585,5.6430625008341863e-14,21
solver,1,2,MDAP_MF-DF-ALS-PCI,Default,0.9119276352489899,8.764884032853138e-09,21
solver,1,2,MDA_MF-DF-ALS,MDP_MF-DF-PCI,0.9804689577884804,7.0109506115234395e-15,21
solver,1,2,MDA_MF-DF-ALS,MD_MF-DF,0.9804689577884804,7.0109506115234395e-15,21
solver,1,2,MDA_MF-DF-ALS,AP_ALS-PCI,0.9756260730639585,5.6430625008341863e-14,21
solver,1,2,MDA_MF-DF-ALS,PCI,0.9119276352489899,8.764884032853138e-09,21
solver,1,2,MDA_MF-DF-ALS,ALS,0.9756260730639585,5.6430625008341863e-14,21
solver,1,2,MDA_MF-DF-ALS,Default,0.9119276352489899,8.764884032853138e-09,21
solver,1,2,MDP_MF-DF-PCI,MD_MF-DF,1.0,0.0,21
